Artista,Cancion,Palabra,Contexto
Los Cadetes De Linares,Caballo Alazan Lucero,caballo,... lo an ganado este caballo solo me sobra y ...
Los Cadetes De Linares,Caballo Alazan Lucero,caballo,... desciendo esta usted servida caballo alazán lucero hoy tu ...
Los Cadetes De Linares,Pista Secreta,polvo,... saco una bolsa de polvo y se dio 3 ...
Los Cadetes De Linares,Pista Secreta,avioneta,... procedentes de colombia una avioneta llegaba a la sierra ...
Los Cadetes De Linares,Pista Secreta,sierra,... avioneta llegaba a la sierra sinaloense donde iba a ...
Los Cadetes De Linares,Pista Secreta,jefe,... los narcos se reportaron jefe tenemos problemas el jefe ...
Los Cadetes De Linares,Pista Secreta,jefe,... jefe tenemos problemas el jefe dice hagan frente voy ...
Los Cadetes De Linares,Pista Secreta,frente,... el jefe dice hagan frente voy para allá no ...
Los Cadetes De Linares,Pista Secreta,traficantes,... la judicial cayeron dos traficantes quedando cuatro nomás pero ...
Los Cadetes De Linares,Pista Secreta,cuatro,... cayeron dos traficantes quedando cuatro nomás pero cuando llego ...
Los Cadetes De Linares,Pista Secreta,jefe,... pero cuando llego el jefe no quedo ni un ...
Los Cadetes De Linares,Pista Secreta,carga,... señor aquí esta la carga dijeron los colombianos entréguenos ...
Los Cadetes De Linares,Pista Secreta,dinero,... los colombianos entréguenos el dinero porque ya nos retiramos ...
Los Cadetes De Linares,Pista Secreta,jefe,... hacían sus operaciones el jefe se carcajeaba y besaba ...
Los Cadetes De Linares,Pedro y La Mafia,gente,... volvió pues platica la gente del pueblo que a ...
Los Cadetes De Linares,Pedro y La Mafia,ley,... ni quien y la ley esta desconcertada porque del ...
Los Cadetes De Linares,Pedro y La Mafia,miedo,... pueblos y ciudades tienen miedo pánico y terror dondequiera ...
Los Cadetes De Linares,La Tartana,muerto,... dos hijos que han muerto por una deuda de ...
Los Cadetes De Linares,La Tartana,perdió,... una madre llorando que perdió su gran tesoro qué ...
Los Cadetes De Linares,La Tartana,sierra,... ganado y en la sierra de durango contrata a ...
Los Cadetes De Linares,La Tartana,gente,... contrata a dos pistoleros gente del chueco rolando tráiganme ...
Los Cadetes De Linares,La Tartana,pistola,... a matarlo desempolvo la pistola que fue de su ...
Los Cadetes De Linares,La Tartana,hombres,... planeado cuando llegaron dos hombres con don macario amarrado ...
Los Cadetes De Linares,La Tartana,pistola,... amarrado le descargo la pistola y al verlo que ...
Los Cadetes De Linares,Corrido de los Perez,dinero,... caballos y perdieron su dinero fue don monico de ...
Los Cadetes De Linares,Corrido de los Perez,balazos,... y a los primeros balazos fue el primero que ...
Los Cadetes De Linares,Corrido de los Perez,gallo,... hubieran hablado derecho otro gallo les cantara isidro cayó ...
Ramon Ayala Y Sus Bravos Del Norte,Silvestre Rodríguez,corrido,... que ya tienen su corrido esta vez voy a ...
Ramon Ayala Y Sus Bravos Del Norte,Silvestre Rodríguez,nivel,... el más buscado el nivel se dío en la ...
Ramon Ayala Y Sus Bravos Del Norte,Silvestre Rodríguez,corrido,... ligeros se merecen un corrido si alguien quiere su ...
7 Notas 7 Colores,"Hecho, Es Simple",barrio,... cara mamón en el barrio volamos alto ya te ...
7 Notas 7 Colores,"Hecho, Es Simple",calle,... como tu en la calle cabrón a veces dando ...
7 Notas 7 Colores,"Hecho, Es Simple",gente,... vengamos yo y mi gente los culpables los diablos ...
7 Notas 7 Colores,"Hecho, Es Simple",gente,... cerveza y entre mi gente no falta ninguna pieza ...
7 Notas 7 Colores,"Hecho, Es Simple",gente,... dive divosso con su gente de san andrés cpv ...
7 Notas 7 Colores,"Hecho, Es Simple",gente,... loco representando a mi gente de twisse desde paris ...
7 Notas 7 Colores,"Hecho, Es Simple",tira,... paris shh nene esto tira así que espera porque ...
7 Notas 7 Colores,Les Gano A Todos,nivel,... a nadie en mi nivel solo quiero seguir haciendo ...
7 Notas 7 Colores,Les Gano A Todos,caballo,... decirle so a mi caballo loco potro que me ...
7 Notas 7 Colores,Les Gano A Todos,tira,... un poco de calma tira pa lante mi alma ...
7 Notas 7 Colores,Les Gano A Todos,gente,... que me coma la gente todavia dice mirale el ...
7 Notas 7 Colores,Les Gano A Todos,malos,... si quieren venir de malos que vengan que yo ...
7 Notas 7 Colores,Mala Gente Con Más,gente,... mala gente con más con kamikaze ...
7 Notas 7 Colores,Mala Gente Con Más,gente,... poltergeist si la mala gente haciendo transferencias de sonidos ...
7 Notas 7 Colores,Mala Gente Con Más,carro,... vayas soñando en tu carro y que yo vaya ...
7 Notas 7 Colores,Mala Gente Con Más,carro,... vaya sonando en tu carro no no te comas ...
7 Notas 7 Colores,Mala Gente Con Más,gente,... la acción sí mala gente con más con más ...
7 Notas 7 Colores,Mala Gente Con Más,hombres,... la situación ahora es hombres malvados jodidos locos vómitos ...
7 Notas 7 Colores,Mala Gente Con Más,gente,... en la madre la gente te jode por el ...
7 Notas 7 Colores,Mala Gente Con Más,nivel,... rudo rodando a un nivel superior nunca nadie nos ...
7 Notas 7 Colores,Mala Gente Con Más,perico,... chico notable como el perico haciendo contactos sí sí ...
7 Notas 7 Colores,Sube En Mi Nave Espacial,defender,... mision es la de defender la tierrade los ataques ...
7 Notas 7 Colores,Sube En Mi Nave Espacial,carro,... la radio de tu carro mc s saben quien ...
7 Notas 7 Colores,Sube En Mi Nave Espacial,barrio,... s saben quien ha barrio el muchacho extraordinario vence ...
7 Notas 7 Colores,Sube En Mi Nave Espacial,gente,... es mi jungla mi gente mis animales busco a ...
7 Notas 7 Colores,Sube En Mi Nave Espacial,federales,... vales en mis historias federales voy to cegao panoja ...
Chalino Sánchez,Tino Quintero,corrido,... para cantar el corrido voy a finar mi ...
Chalino Sánchez,Tino Quintero,corrido,... una mala pasada este corrido se canta al pesar ...
Chalino Sánchez,Tino Quintero,tiros,... su 38 supe los tiros se le acabaron como ...
Chalino Sánchez,Tino Quintero,corrido,... así se acaba el corrido de juventino quintero ...
Chalino Sánchez,Martin Felix,corrido,... voy a cantar un corrido muy especialmente ahora en ...
Chalino Sánchez,Martin Felix,defender,... ventaja y se sabe defender en las buenas y ...
Chalino Sánchez,Juventino Quintero,corrido,... para cantar el corrido voy a kitarme el ...
Chalino Sánchez,Juventino Quintero,pistola,... querian matarlo con la pistola en la mano era ...
Chalino Sánchez,Juventino Quintero,diablo,... el gatillo asta el diablo se asustaba el dia ...
Chalino Sánchez,Mariano Felix,muerte,... el motivo de su muerte no se a podido ...
Chalino Sánchez,Mariano Felix,gente,... de sinaloa nacido mucha gente te recuerda por valiente ...
Chalino Sánchez,Eleazar Quintero,corrido,... aquí les traigo el corrido de uno más de ...
Chalino Sánchez,Eleazar Quintero,compa,... medido ahí le va compa eleasar víctor quintero su ...
Chalino Sánchez,Eleazar Quintero,mujeres,... busca al culpable las mujeres los persiguen por su ...
Chalino Sánchez,Eleazar Quintero,corrido,... ya le canté su corrido al compa eleasar quintero ...
Chalino Sánchez,Eleazar Quintero,compa,... canté su corrido al compa eleasar quintero respetado y ...
Chalino Sánchez,Eladio Felix,compa,... pistolero le decían el compa layo con las armas ...
Chalino Sánchez,Eladio Felix,policía,... federal peleo con la policía por no dejarse arrestar ...
Chalino Sánchez,Eladio Felix,compa,... se me olvida el compa layo sabia que de ...
Chalino Sánchez,Adios Hermanos Quintero,valientes,... la mecha de aquellos valientes bravos de ese rancho ...
Chalino Sánchez,Adios Hermanos Quintero,cuatro,... en el ochenta y cuatro julio quince fue la ...
Chalino Sánchez,Adios Hermanos Quintero,camioneta,... apodado unos de una camioneta a los dos los ...
Chalino Sánchez,Adios Hermanos Quintero,muerto,... destantiado cuando lolo cayo muerto y rigo quedo baliado ...
Chalino Sánchez,Adios Hermanos Quintero,valientes,... madres llorando de aquellos valientes bravos me despido sin ...
Chalino Sánchez,Adios Hermanos Quintero,mal,... que es ave de mal acuerdo ...
Chalino Sánchez,Toledo Felix,corrido,... voy a cantar un corrido aunque triste muy bonito ...
Chalino Sánchez,Toledo Felix,hombres,... el guamuchilito lugar de hombres peligrosos casi cunas de ...
Chalino Sánchez,Toledo Felix,muerte,... no estaba prevenido la muerte se halla a la ...
Chalino Sánchez,Toledo Felix,valientes,... un decido pongan atención valientes escuchen bien el corrido ...
Chalino Sánchez,Toledo Felix,corrido,... valientes escuchen bien el corrido 1970 como a las ...
Chalino Sánchez,Toledo Felix,balazos,... serían se agarraron a balazos por rencillas que tenían ...
Chalino Sánchez,Toledo Felix,matar,... quiso arrimar vengan a matar a un hombre les ...
Chalino Sánchez,Prajedes Felix,sierra,... el filo de la sierra bonitos se ven los ...
Chalino Sánchez,Prajedes Felix,corrido,... silbido le cantan el corrido a un gallo fino ...
Chalino Sánchez,Prajedes Felix,gallo,... el corrido a un gallo fino quiere escucharlo con ...
Chalino Sánchez,Prajedes Felix,gente,... en aguablanca entre pura gente brava entre escuadras y ...
Chalino Sánchez,Prajedes Felix,banda,... entre escuadras y la banda praxedes felix se llama ...
Chalino Sánchez,Prajedes Felix,mujeres,... sido se llevó varias mujeres siempre anda muy bien ...
Chalino Sánchez,Prajedes Felix,diablo,... muy sincero como un diablo de enemigo ay unas ...
Los Tigres Del Norte,La Reina Del Sur,corrido,... voy a cantar un corrido escuchen muy bien mis ...
Los Tigres Del Norte,La Reina Del Sur,avioneta,... muchos mandados en un avioneta cessna en la sierra ...
Los Tigres Del Norte,La Reina Del Sur,sierra,... avioneta cessna en la sierra lo mataron dijo epifanio ...
Los Tigres Del Norte,La Reina Del Sur,gente,... santiago fisterra juntaron bastante gente comprando y vendiendo droga ...
Los Tigres Del Norte,La Reina Del Sur,tierra,... piel vestía de su tierra se acordaba con bota ...
Los Tigres Del Norte,La Reina Del Sur,tierra,... sur allá en su tierra natal teresa la mexicana ...
Los Tigres Del Norte,El Fin Del Mundo,muerte,... se vendió santana la muerte del cardenal se ha ...
Los Tigres Del Norte,El Fin Del Mundo,chapo,... unos han culpado al chapo otros dicen que fue ...
Los Tigres Del Norte,El Fin Del Mundo,muerte,... el güero con su muerte se llevo el secreto ...
Los Tigres Del Norte,El Fin Del Mundo,ley,... quería burlar a la ley con un cambio de ...
Los Tigres Del Norte,El Fin Del Mundo,gobierno,... no por que el gobierno se les haya puesto ...
Los Tigres Del Norte,El Cura,polvo,... que se dedicaba al polvo el era de zacatecas ...
Los Tigres Del Norte,El Cura,cuerno,... con todo traia su cuerno de chivo lo disparaba ...
Los Tigres Del Norte,El Cura,pistola,... es sagrada saque mi pistola escuadra sin tenerle compasión ...
Los Tigres Del Norte,El Cura,tiros,... nomas le pegue 6 tiros y en su tumba ...
Los Tigres Del Norte,El Circo,frente,... de sinaloa y al frente su domador raul se ...
Los Tigres Del Norte,El Circo,dinero,... el mago desaparecio el dinero de las manos de ...
Los Tigres Del Norte,El Circo,gente,... cuerda floja ahora la gente descansa hasta que llegue ...
Los Tigres Del Norte,La Liebre,dinero,... alcanzan unos gastan el dinero y otros son los ...
Los Tigres Del Norte,La Liebre,dolar,... monton de ratas el dolar a diario sube nadie ...
Los Tigres Del Norte,La Liebre,dinero,... peso devaluar y el dinero k ellos gastan el ...
Los Tigres Del Norte,La Liebre,gobierno,... subir los impuestos el gobierno no te ayuda y ...
Los Tigres Del Norte,La Liebre,millones,... se va se lleva millones k no ha ganado ...
Chalino Sánchez,El Bandido Generoso,sierra,... fusilaron en la sierra al bandido generoso murió ...
Chalino Sánchez,El Bandido Generoso,gobierno,... en los ojos el gobierno lo mató porque era ...
Chalino Sánchez,El Bandido Generoso,teniente,... pedazos le preguntaba el teniente con que fin andas ...
Chalino Sánchez,El Bandido Generoso,teniente,... cabeza no se preocupe teniente cobre usted la recompensa ...
Chalino Sánchez,El Bandido Generoso,gente,... buena acción por la gente eso yo ya lo ...
Chalino Sánchez,El Bandido Generoso,muerte,... no me asusta la muerte en el infierno nos ...
Chalino Sánchez,El Bandido Generoso,teniente,... vemos allá lo espero teniente ...
Banda El Recodo,Clave Privada,gente,... les puede pesar mi gente se me enloquece cuando ...
Banda El Recodo,Clave Privada,matar,... enloquece cuando le ordeno matar ya mucho tiempo fui ...
Banda El Recodo,Clave Privada,gente,... tiempo fui pobre mucha gente me humillaba empecé a ...
Banda El Recodo,Clave Privada,dinero,... humillaba empecé a ganar dinero las cosas están volteadas ...
Banda El Recodo,Clave Privada,patrón,... volteadas ahora me llaman patrón tengo mi clave privada ...
Banda El Recodo,Clave Privada,hombres,... cheyenne del año dos hombres en la cajuela con ...
Banda El Recodo,Clave Privada,cuerno,... la cajuela con un cuerno en cada mano de ...
Banda El Recodo,Clave Privada,polvo,... compran cien kilos de polvo como comprar unas flores ...
Banda El Recodo,Clave Privada,mujeres,... ausentes brindemos por las mujeres la traigo siempre en ...
Banda El Recodo,Clave Privada,gallo,... encuentran prisioneros pero este gallo es más bravo les ...
Banda El Recodo,Clave Privada,muerte,... señores andan buscando la muerte el miedo no lo ...
Banda El Recodo,Clave Privada,miedo,... buscando la muerte el miedo no lo conozco para ...
Banda El Recodo,Clave Privada,tierra,... soy cerca de mazatlán tierra de puros valientes ...
Banda El Recodo,Clave Privada,valientes,... mazatlán tierra de puros valientes ...
Joan Sebastian,Afortunado,gente,... para mi gente gente alegre honrada y ...
Joan Sebastian,Afortunado,gente,... para mi gente gente alegre honrada y trabajadora ...
Joan Sebastian,Afortunado,carro,... cuando yo no tenía carro me soñaba en la ...
"""El Piporro""",Llego Borracho El Borracho,dinero,... verdad uno no traía dinero y el otro no ...
"""El Piporro""",Llego Borracho El Borracho,dinero,... va a costar su dinero llego borracho el piporro ...
"""El Piporro""",Llego Borracho El Borracho,jefe,... pues era hermano del jefe del orden publico y ...
"""El Piporro""",Llego Borracho El Borracho,pistola,... hombre los dos sacaron pistola se cruzaron los balazos ...
"""El Piporro""",Llego Borracho El Borracho,balazos,... pistola se cruzaron los balazos venían cruzados pero de ...
"""El Piporro""",Llego Borracho El Borracho,gente,... pa allá allá la gente corrió echa bola seguían ...
"""El Piporro""",Llego Borracho El Borracho,mal,... dos vidas por un mal entendimiento ajua ...
"""El Piporro""",El Pata Rajada,mal,... deje andan hablando muy mal de usted ah pos ...
"""El Piporro""",El Pata Rajada,dinero,... soy hombre de mucho dinero aunque pienses que no ...
"""El Piporro""",Mariano Resendez,contrabando,... resendez el amo del contrabando según me lo contó ...
"""El Piporro""",Mariano Resendez,gente,... no les digo la gente de don mariano le ...
"""El Piporro""",Mariano Resendez,matar,... a usted lo quieren matar me querrán matar de ...
"""El Piporro""",Mariano Resendez,matar,... quieren matar me querrán matar de risa raza o ...
"""El Piporro""",Mariano Resendez,gente,... a poco no tengo gente yo o qué clase ...
"""El Piporro""",Mariano Resendez,gente,... o qué clase de gente tengo ánimo gentes descontrolesen ...
"""El Piporro""",Mariano Resendez,miedo,... organisencen no le tengan miedo a las balas nomás ...
"""El Piporro""",Mariano Resendez,caballo,... mariano resendez en su caballo tordillo a la hora ...
"""El Piporro""",Mariano Resendez,balazos,... la hora de los balazos no hay caballo como ...
"""El Piporro""",Mariano Resendez,caballo,... los balazos no hay caballo como el mío ajúa ...
"""El Piporro""",Mariano Resendez,caballo,... mío ajúa tenía un caballo que era un pensamiento ...
"""El Piporro""",Mariano Resendez,muerto,... ni mariano resendez ya muerto lo hubiera creído pero ...
"""El Piporro""",Mariano Resendez,caballo,... resendez solo quedó su caballo ajúa ...
"""El Piporro""",Arnulfo Gonzalez,pistola,... le pego con su pistola en la mano con ...
"""El Piporro""",Arnulfo Gonzalez,muerte,... la mano con la muerte lo amago no arnulfo ...
"""El Piporro""",Arnulfo Gonzalez,balazos,... contestación se agarron a balazos se agarraron frente a ...
"""El Piporro""",Arnulfo Gonzalez,frente,... a balazos se agarraron frente a frente arnulfo con ...
"""El Piporro""",Arnulfo Gonzalez,frente,... se agarraron frente a frente arnulfo con su pistola ...
"""El Piporro""",Arnulfo Gonzalez,pistola,... frente arnulfo con su pistola tres tiros le dio ...
"""El Piporro""",Arnulfo Gonzalez,tiros,... con su pistola tres tiros le dio al teniente ...
"""El Piporro""",Arnulfo Gonzalez,teniente,... tiros le dio al teniente uno pa azonzarlo otro ...
"""El Piporro""",Arnulfo Gonzalez,teniente,... otro pa rematarlo el teniente mal herido casi para ...
"""El Piporro""",Arnulfo Gonzalez,mal,... pa rematarlo el teniente mal herido casi para agonizar ...
"""El Piporro""",Arnulfo Gonzalez,matar,... se vaya acábeme de matar no me dejes boqueando ...
"""El Piporro""",Arnulfo Gonzalez,frente,... un tiro en la frente pero en la vuelta ...
"""El Piporro""",Arnulfo Gonzalez,teniente,... ahí le pego el teniente pa que te devolvías ...
"""El Piporro""",Arnulfo Gonzalez,mal,... hombre escóndete arnulfo muy mal herido en un carro ...
"""El Piporro""",Arnulfo Gonzalez,carro,... mal herido en un carro iba volando cuando llego ...
"""El Piporro""",Arnulfo Gonzalez,hombres,... que bonitos son los hombres que se matan pecho ...
"""El Piporro""",Arnulfo Gonzalez,pistola,... a pecho con su pistola en la mano defendiendo ...
"""El Piporro""",El Traga Balas,pistola,... traga balas era la pistola más famosa del norte ...
"""El Piporro""",El Traga Balas,tiros,... y le erraron los tiros dicen que al darle ...
"""El Piporro""",El Traga Balas,mal,... el hombre calmado fue mal juzgado preso quedo y ...
"""El Piporro""",El Traga Balas,muerte,... por un error la muerte fría se le acerco ...
"""El Piporro""",El Traga Balas,pistola,... y ahora alquila su pistola ay ama pa defender ...
"""El Piporro""",El Traga Balas,defender,... pistola ay ama pa defender al sufrido pues la ...
"""El Piporro""",El Traga Balas,pistola,... al sufrido pues la pistola dispara sola nomás le ...
"""El Piporro""",El Traga Balas,caballo,... el gatillo y su caballo es como un rayo ...
"""El Piporro""",El Traga Balas,caballo,... haya otro mejor bonito caballo bayo bayo el caballo ...
"""El Piporro""",El Traga Balas,caballo,... caballo bayo bayo el caballo caballo bayo solo una ...
"""El Piporro""",El Traga Balas,caballo,... bayo bayo el caballo caballo bayo solo una cosa ...
"""El Piporro""",Eres Casado,calle,... amoro salgo a la calle y me encuentro una ...
"""El Piporro""",Eres Casado,matar,... señora los voy a matar animales y ya no ...
"""El Piporro""",El Perro Negro,dinero,... julián hombre de mucho dinero acostumbrado a mandar el ...
"""El Piporro""",El Perro Negro,matar,... gilberto y lo pensaba matar el viejo sabia pero ...
"""El Piporro""",El Perro Negro,diablo,... que más sabe el diablo por viejo que por ...
"""El Piporro""",El Perro Negro,mal,... de un perro del mal era el negro embravecido ...
"""El Piporro""",El Perro Negro,muerte,... negro embravecido que dio muerte a don julián claro ...
"""El Piporro""",El Perro Negro,muerte,... a gilberto y dio muerte a don julián ...
"""El Piporro""",Agustin Jaime,caballo,... agustin bajaba bajaba a caballo y lo traicionaron por ...
"""El Piporro""",Agustin Jaime,caballo,... agustin bajaba bajaba a caballo y lo traicionaron por ...
"""El Piporro""",Agustin Jaime,perdió,... donde el sabia y perdió la vida por maría ...
"""El Piporro""",Agustin Jaime,perdió,... donde el sabia y perdió la vida por maría ...
"""El Piporro""",Agustin Jaime,caballo,... ay te sigo bonito caballo que jaime montaba como ...
"""El Piporro""",Agustin Jaime,caballo,... señas le hablaba bonito caballo que jaime montaba como ...
"""El Piporro""",Agustin Jaime,caballo,... padre no apa el caballo le decía vente pa ...
"""El Piporro""",Agustin Jaime,caballo,... pos si nomas era caballo no secretario si uste ...
"""El Piporro""",Agustin Jaime,caballo,... si uste tuviera un caballo como ese yo se ...
"""El Piporro""",Agustin Jaime,gente,... es un corredero de gente ajua ...
"""El Piporro""",El Ojo De Vidrio,corrido,... voy a cantar el corrido del salteador del camino ...
"""El Piporro""",El Ojo De Vidrio,gobierno,... los poblados burlándose del gobierno mataba muchos soldados nomás ...
"""El Piporro""",El Ojo De Vidrio,mujeres,... asustado y a las mujeres buscaba mirando por todos ...
"""El Piporro""",El Ojo De Vidrio,caballo,... se paseaba con su caballo tordillo frente de la ...
"""El Piporro""",El Ojo De Vidrio,frente,... con su caballo tordillo frente de la plaza de ...
"""El Piporro""",El Ojo De Vidrio,plaza,... tordillo frente de la plaza de armas lo acribillaron ...
"""El Piporro""",El Ojo De Vidrio,tiros,... armas lo acribillaron a tiros sin que le pasara ...
"""El Piporro""",El Ojo De Vidrio,caballo,... se iba tranquilo a caballo sin que nadie le ...
"""El Piporro""",El Ojo De Vidrio,muerto,... un corralillo venía ya muerto el bandido sobre el ...
"""El Piporro""",El Ojo De Vidrio,caballo,... el bandido sobre el caballo tordillo ajua ...
"""El Piporro""",Volaron Los Pavos Reales,sierra,... reales rumbo a la sierra mojada mataron a lucio ...
"""El Piporro""",Volaron Los Pavos Reales,mujeres,... lucio vázquez por las mujeres que amaba a las ...
"""El Piporro""",Volaron Los Pavos Reales,miedo,... pueden perdonar no tenga miedo ama soy hombre soy ...
"""El Piporro""",Volaron Los Pavos Reales,sierra,... caballos rumbo a la sierra mojada cuando llegaron al ...
"""El Piporro""",Volaron Los Pavos Reales,tierra,... lo mataron le echaron tierra en la boca no ...
"""El Piporro""",Volaron Los Pavos Reales,sierra,... reales rumbo a la sierra mojada mataron a lucio ...
"""El Piporro""",Volaron Los Pavos Reales,mujeres,... lucio vázquez por las mujeres que amaba se murió ...
"""El Piporro""",Chulas Fronteras,gente,... lado escondido de la gente pues pasaba de mojado ...
"""El Piporro""",Chulas Fronteras,ley,... estoy dentro de la ley tomo whiskey o la ...
"""El Piporro""",Chulas Fronteras,dinero,... dancing di dog con dinero baila el perro criatura ...
"""El Piporro""",La Estrea Del Desello,caballo,... a lomo de un caballo buscando pero no hallo ...
"""El Piporro""",La Estrea Del Desello,caballo,... cierto pregúntenle a mi caballo les dirá que nunca ...
"""El Piporro""",La Estrea Del Desello,caballo,... va a hablar el caballo aunque no se crean ...
"""El Piporro""",La Estrea Del Desello,caballo,... se crean es un caballo muy hablador caballo azul ...
"""El Piporro""",La Estrea Del Desello,caballo,... un caballo muy hablador caballo azul ojo triste muy ...
"""El Piporro""",La Estrea Del Desello,mal,... otra gallina la por mal nombre no me platiques ...
"""El Piporro""",La Estrea Del Desello,perico,... platiques gallina cruzada con perico ora ya no voy ...
"""El Piporro""",El Güero Aventado,corrido,... ajua este es el corrido del güero aventado muy ...
"""El Piporro""",El Güero Aventado,mal,... del güero aventado muy mal averiguado de los hombres ...
"""El Piporro""",El Güero Aventado,hombres,... mal averiguado de los hombres más entrones del barrio ...
"""El Piporro""",El Güero Aventado,barrio,... hombres más entrones del barrio de los matones es ...
"""El Piporro""",El Güero Aventado,mujeres,... es el güero con mujeres salamero de esta fama ...
"""El Piporro""",El Güero Aventado,mal,... murió que pelado tan mal amansado arrasaba cebollales hasta ...
Antonio Aguilar,El Califa,corrido,... voy a cantarles el corrido de un caballo que ...
Antonio Aguilar,El Califa,caballo,... el corrido de un caballo que se llamaba el ...
Antonio Aguilar,El Califa,perdió,... medico muy afamado jamas perdió una carrera yo lo ...
Antonio Aguilar,El Califa,caballo,... su pueblo de aquel caballo ligero solo un corrido ...
Antonio Aguilar,El Califa,corrido,... caballo ligero solo un corrido quedo porque una noche ...
Antonio Aguilar,El Califa,muerto,... su corral se salio muerto quedo en la ladera ...
Antonio Aguilar,El Califa,caballo,... jinete animando a su caballo ah califa ah caballo ...
Antonio Aguilar,El Califa,caballo,... caballo ah califa ah caballo de allá del rancho ...
Antonio Aguilar,El Califa,sierra,... mismo dueño viva la sierra chiquita y cuentan algunas ...
Antonio Aguilar,El Califa,caballo,... jinete animando a su caballo aah califa aah caballo ...
Antonio Aguilar,El Califa,caballo,... caballo aah califa aah caballo de allá del rancho ...
Los Tetas,Funky Fiesta,gente,... tumba muéstrale a la gente la ley de la ...
Los Tetas,Funky Fiesta,ley,... a la gente la ley de la jungla estoy ...
Los Tetas,Funky Fiesta,malos,... mirar con sus ojos malos los que quieran le ...
Los Tetas,Funky Fiesta,gente,... tengo que cortar la gente pasa sobre mi no ...
Los Tetas,Funky Fiesta,calle,... la puerta de la calle digo que voy a ...
Los Tetas,I'll Be Back,perdió,... aquella tarde que se perdió en el tiempo jamás ...
Los Tetas,I'll Be Back,frente,... dónde estás más allá frente a ti is that ...
Los Tetas,I'll Be Back,frente,... i ll be back frente a ti en los ...
Los Tetas,I'll Be Back,frente,... dónde estás más allá frente a ti is that ...
Los Tetas,I'll Be Back,frente,... i ll be back frente a ti intuyo algo ...
Los Tetas,I'll Be Back,frente,... dónde estás más allá frente a ti is that ...
Los Tetas,I'll Be Back,frente,... i ll be back frente a ti ...
Cartel De Santa,Asesino De Acesinos,real,... creías yo soy el real el mesías me tienes ...
Cartel De Santa,Asesino De Acesinos,muerte,... detrás nos estás deseando muerte pero en ese momento ...
Cartel De Santa,Asesino De Acesinos,frente,... deseo mucha suerte de frente eres un joto te ...
Cartel De Santa,Asesino De Acesinos,real,... falta que reces al real el mesías se te ...
Cartel De Santa,Asesino De Acesinos,cuatro,... del hip-hop y sus cuatro elementos lo más importante ...
Cartel De Santa,Jake Mate,frente,... no te pongas al frente que nunca es suficiente ...
Cartel De Santa,Jake Mate,muerto,... jake mate y dejo muerto competencia no vale nada ...
Cartel De Santa,Jake Mate,dinero,... está ganada sediento de dinero autos nuevos y mansiones ...
Cartel De Santa,Jake Mate,diablo,... que se incline el diablo llamado el emisario aliado ...
Cartel De Santa,Jake Mate,muerte,... emisario aliado de la muerte eterno sobre el suelo ...
Cartel De Santa,Jake Mate,frente,... jake mate estoy al frente con las ideas bien ...
Cartel De Santa,Jake Mate,barrio,... cuidado que en mi barrio hay vatos matones canceros ...
Cartel De Santa,Jake Mate,malos,... vatos matones canceros y malos descansamos como paisas le ...
Cartel De Santa,Super MC's,real,... soy el real el mesias que te ...
Cartel De Santa,Super MC's,nivel,... te encuentras de mi nivel de combate avanzadas torturas ...
Cartel De Santa,Super MC's,sierra,... el poder de mi sierra me escurre el flow ...
Cartel De Santa,Super MC's,real,... y nata en la real academia de la rima ...
Cartel De Santa,Super MC's,cuatro,... caza a jurasic park cuatro elementos tatuados en mis ...
Cartel De Santa,Super MC's,gente,... blasfeman letras finas para gente conocedora dadius posee lo ...
Cartel De Santa,Para Aquí O Para Llevar,cuatro,... noche uno de los cuatro habitantes de la casa ...
Cartel De Santa,Para Aquí O Para Llevar,real,... para pensar que es real y que es muy ...
Cartel De Santa,Para Aquí O Para Llevar,tira,... los usa y los tira no me digan que ...
Cartel De Santa,Para Aquí O Para Llevar,dinero,... las grupis y el dinero mujeres que gritaban pinche ...
Cartel De Santa,Para Aquí O Para Llevar,mujeres,... grupis y el dinero mujeres que gritaban pinche bavo ...
Vicente Fernández,Caballo Golondrino,caballo,... quería mucho a su caballo y le gustaba dar ...
Vicente Fernández,Caballo Golondrino,caballo,... gustaba dar guerra su caballo era muy fino se ...
Vicente Fernández,Caballo Golondrino,caballo,... venteaba al enemigo al caballo como al hombre el ...
Vicente Fernández,Caballo Golondrino,caballo,... moría debajo de su caballo se quejaba y se ...
Vicente Fernández,Caballo Golondrino,caballo,... y se reía su caballo relinchaba con las patas ...
Vicente Fernández,Caballo Golondrino,caballo,... la vida cuando el caballo venteo que estaba muerto ...
Vicente Fernández,Caballo Golondrino,muerto,... caballo venteo que estaba muerto de veras sin detenerse ...
Vicente Fernández,Caballo Golondrino,sierra,... corrió internándose en la sierra los del pueblo lo ...
Vicente Fernández,Caballo Golondrino,caballo,... encontrarlo ya nunca el caballo golondrino siguió a maclovio ...
Antonio Aguilar,Muerte En El Coleadero,gallo,... atenia que era buen gallo al ir a accionar ...
Antonio Aguilar,Muerte En El Coleadero,caballo,... se le desantio el caballo le echaron el toro ...
Antonio Aguilar,Muerte En El Coleadero,caballo,... para su desgracia el caballo era tordido no se ...
Antonio Aguilar,Muerte En El Coleadero,matar,... valiente nadie lo podia matar pero en su propio ...
Antonio Aguilar,Muerte En El Coleadero,caballo,... pero en su propio caballo la muerte vino a ...
