artist,album,year,song,lyrics,conteo_narco,es_narco_fuerte,decada,lyrics_limpias,subgenero_ia
Pedro Infante,"Pedro Infante ""Sus Géneros"" 50 Años Después 1957-2007",2007,Carmen,"Es la ocasión que yo buscaba con ilusión
Para ofrecer mis ensueños cantándole a usted
Temblando estoy con el miedo aquello que espero
Y sabe Dios si se apiaden aquí de mí

Tener piedad perdóneme usted, yo no sé rimar
Pero este vals, lo doy con devoción
Yo quisiera poner ante usted los luceros y ser trovador
Mas comprendo que nunca podré alumbrar con luceros este vals

Oh, sol de amor que ilumina con claro fulgor
La senda gris de un artista que vive el dolor
En este vals, las palabras en vano pretenden
Decir aquí el cantar de mi corazón",1,False,2000,ocasión buscaba ilusión ofrecer ensueños cantándole usted temblando estoy miedo aquello espero sabe dios apiaden tener piedad perdóneme usted rimar vals doy devoción quisiera poner ante usted luceros ser trovador comprendo nunca podré alumbrar luceros vals sol amor ilumina claro fulgor senda gris artista vive dolor vals palabras vano pretenden decir cantar corazón,14
Los Rieleros Del Norte,25 Aniversario,2007,Viva Chihuahua,"Por mi tierra bendita que es Chihuahua
Esa tierra tan llena de alegría ahí va la vida mía, ahí va mi corazón
Corazón que nació pa ser rebelde
Porque sabe perder cuando se pierde
Y que grita contento cuando gana, qué viva mi Chihuahua, que es toda mi ilusión

¡Viva Chihuahua!, ¡Viva Chihuahua!
Tierra que sabe a cariño, tierra que huele a sotol
¡Viva Chihuahua!, ¡Viva Chihuahua!
Tierra bendita bañada de luna y de sol

Verdad de Dios que sí

Nada importa si vengo de Delicias
Nada importa si vengo de Camargo, sí soy de casas grandes, de Juárez o Parral
Lo que importa es que todo sea Chihuahua
Y mi sangre sea sangre Tarahumara
Y llevar las costumbres de mi raza metidas en el alma como algo sin igual

¡Viva Chihuahua!, ¡Viva Chihuahua!
Tierra que sabe a cariño, tierra que huele a sotol
¡Viva Chihuahua!, ¡Viva Chihuahua!
Tierra bendita bañada de luna y de sol

Qué bonito es sentirse chihuahuense
Aventar por los aires un balazo que marque en el espacio la ruta del valor
Enfrentar al destino cara a cara
Y adorar con pasión todo Chihuahua
Y cantar, al compás de mil guitarras, canciones de mi tierra con todo el corazón

¡Viva Chihuahua!, ¡Viva Chihuahua!
Tierra que sabe a cariño, tierra que huele a sotol
¡Viva Chihuahua!, ¡Viva Chihuahua!
Tierra bendita, bañada de luna y de sol",1,False,2000,tierra bendita chihuahua esa tierra llena alegría vida mía corazón corazón nació ser rebelde sabe perder pierde grita contento gana viva chihuahua toda ilusión viva chihuahua viva chihuahua tierra sabe cariño tierra huele sotol viva chihuahua viva chihuahua tierra bendita bañada luna sol verdad dios nada vengo delicias nada vengo camargo casas grandes juárez parral todo chihuahua sangre sangre tarahumara llevar costumbres raza metidas alma algo igual viva chihuahua viva chihuahua tierra sabe cariño tierra huele sotol viva chihuahua viva chihuahua tierra bendita bañada luna sol bonito sentirse chihuahuense aventar aires balazo marque espacio ruta valor enfrentar destino cara cara adorar pasión todo chihuahua cantar compás mil guitarras canciones tierra todo corazón viva chihuahua viva chihuahua tierra sabe cariño tierra huele sotol viva chihuahua viva chihuahua tierra bendita bañada luna sol,13
Jenni Rivera,Por Un Amor,2007,Viejo Vaquetón,"Yo tengo un amigo que es bueno para el baile
En todos lados causa sensación
Las muchachas quieren que les hable
Para invitarlas a bailar el pachangón

Hay quien ha dicho que es demasiado grande
Para que vista como muchachón
Pero las chicas siempre lo rodean
Quieren un pegue de tercera dimensión
Pero las chicas siempre lo rodean
Quieren un pegue de tercera dimensión
Es un artista de quiebre de cadera
Y tiene pasos de mucha variedad
Las muchachas dicen que sus ganas
Son las que le dan personalidad

Viejo vaquetón pero que suerte que tienes
Viejo vaquetón con todas las mujeres
Viejo vaquetón pero que suerte que tienes
Cuando yo sea grande quiero ser tal como tú
Viejo vaquetón pero que suerte que tienes
Viejo vaquetón con todas las mujeres
Viejo vaquetón pero que suerte que tienes
Cuando yo sea grande quiero ser tal como tú

Hay quien ha dicho que es demasiado grande
Para que vista como muchachón
Pero las chicas siempre lo rodean
Quieren un pegue de tercera dimensión
Pero las chicas siempre lo rodean
Quieren un pegue de tercera dimensión
Es un artista de quiebre de cadera
Y tiene pasos de mucha variedad
Las muchachas dicen que sus ganas
Son las que le dan personalidad

Viejo vaquetón pero que suerte que tienes
Viejo vaquetón con todas las mujeres
Viejo vaquetón pero que suerte que tienes
Cuando yo sea grande quiero ser tal como tú
Viejo vaquetón pero que suerte que tienes
Viejo vaquetón con todas las mujeres
Viejo vaquetón pero que suerte que tienes
Cuando yo sea grande quiero ser tal como tú",1,False,2000,tengo amigo bueno baile todos lados causa sensación muchachas quieren hable invitarlas bailar pachangón dicho demasiado grande vista muchachón chicas siempre rodean quieren pegue tercera dimensión chicas siempre rodean quieren pegue tercera dimensión artista quiebre cadera tiene pasos mucha variedad muchachas ganas son dan personalidad viejo vaquetón suerte tienes viejo vaquetón todas mujeres viejo vaquetón suerte tienes grande quiero ser viejo vaquetón suerte tienes viejo vaquetón todas mujeres viejo vaquetón suerte tienes grande quiero ser dicho demasiado grande vista muchachón chicas siempre rodean quieren pegue tercera dimensión chicas siempre rodean quieren pegue tercera dimensión artista quiebre cadera tiene pasos mucha variedad muchachas ganas son dan personalidad viejo vaquetón suerte tienes viejo vaquetón todas mujeres viejo vaquetón suerte tienes grande quiero ser viejo vaquetón suerte tienes viejo vaquetón todas mujeres viejo vaquetón suerte tienes grande quiero ser,7
Los Cadetes De Linares,Los Dos Amigos,2007,La Tumba De Mi Madre,"Llevo estas flores a la tumba de mi madre
La viejecita que por mí tanto sufrió
Lo que me puede es haber llegado tarde
Yo estaba preso, cuando mi madre murió
Ahora recuerdo cuando estaba prisionero
Ningún amigo de mi nombre se acordó
Solo mi madre visitaba mi presidio
Compadecida de mi triste situación
Hoy lo comprendo no hay amigos ni mujeres
Los que yo tuve, me fingieron su amistad
Decía mi madre que en la cama y en la cárcel
Si te visitan, son amigos de verdad
Ahora recuerdo cuando estaba prisionero
Ningún amigo de mi nombre se acordó
Solo mi madre visitaba mi presidio
Compadecida de mi triste situación
Hoy lo comprendo no hay amigos ni mujeres
Los que yo tuve, me fingieron su amistad
Decía mi madre que en la cama y en la cárcel
Si te visitan, son amigos de verdad
",1,False,2000,llevo estas flores tumba madre viejecita tanto sufrió haber llegado tarde estaba preso madre murió ahora recuerdo estaba prisionero ningún amigo nombre acordó madre visitaba presidio compadecida triste situación comprendo amigos mujeres tuve fingieron amistad decía madre cama cárcel visitan son amigos verdad ahora recuerdo estaba prisionero ningún amigo nombre acordó madre visitaba presidio compadecida triste situación comprendo amigos mujeres tuve fingieron amistad decía madre cama cárcel visitan son amigos verdad,0
Grupo Exterminador,Adicto A Ti,2007,De Lengua Me Como Un Taco,"No se atraviesen culebras porque les piso la cola
Me gusta tumbar cabritos y más cuando andan en bola
El mar se me hace chiquito para bañarme en sus olas
Siempre me pongo nervioso cuando habla mucho el perico
Para que no grite tanto le lleno de plomo el pico
El burro no era mañoso pero lo hicieron arisco

De lengua me como un plato con un costal de tortillas
Del tablador no me cuido ni de cualquier aguililla
Me cuido de gavilanes que rondan por las orillas
Muchos cambian de calzones para ponerse faldillas
Como una dama se sientan pa' hacer la chi enculiquillas
Otros de plano bien gacho ensucian la bacinilla

Muchos no comen y dejan, están como el perro hambriento
Si les parten el hocico es cuando quedan contentos
Por eso, pico de cera, no cuesta nada el silencio
Métanse atrás de la raya un dedo que estoy chambeando
Muchos tienen la costumbre nomás de estar estorbando
Si no quieren que los tumbe dejen de estarme chiflando",1,False,2000,atraviesen culebras piso cola gusta tumbar cabritos andan bola mar chiquito bañarme olas siempre pongo nervioso habla mucho perico grite tanto lleno plomo pico burro era mañoso hicieron arisco lengua plato costal tortillas tablador cuido cualquier aguililla cuido gavilanes rondan orillas muchos cambian calzones ponerse faldillas dama sientan chi enculiquillas otros plano gacho ensucian bacinilla muchos comen dejan están perro hambriento parten hocico quedan contentos pico cera cuesta nada silencio métanse atrás raya dedo estoy chambeando muchos tienen costumbre nomás estorbando quieren tumbe dejen estarme chiflando,7
El Coyote Y Su Banda Tierra Santa,El Rancho Grande,2003,Ruegos De Una Madre,"No hay cariño comparado
Con el santo amor de madre
Pero siempre lo olvidamos
Cuando ya es demasiado tarde

Cuando uno tiene a sus padres
Los mira con indiferencia
Y sino dan un consejo
Como siempre nos desprecian

Cuando yo tenía a mi madre
Ella siempre me decía
Hijo querido de mi alma
Ya no me acabes la vida
Pues se va a llegar el día
Que te encuentres solo en el mundo
Entonces ahí vas a saber
Lo que es un dolor profundo

Yo no escuchaba sus quejas
Mucho menos sus consejos
Me salía y me emborrachaba
Sin hacer caso a sus ruegos
Por eso es que ahora en la calle
Vivo borracho y perdido
Para qué quiero la vida
Si ella misma ya se ha ido

Ya mi Dios me la ha quitado
Para mi mayor tormento
Perdóname madre mía
Tú que estás allá en el cielo.",1,False,2000,cariño comparado santo amor madre siempre olvidamos demasiado tarde uno tiene padres indiferencia sino dan consejo siempre desprecian tenía madre ella siempre decía hijo querido alma acabes vida llegar encuentres mundo entonces saber dolor profundo escuchaba quejas mucho menos consejos salía emborrachaba caso ruegos ahora calle vivo borracho perdido quiero vida ella misma ido dios quitado mayor tormento perdóname madre mía cielo,0
Los Tigres Del Norte,Más Zarpazos,2003,Acuarela Potosina,"Yo soy de San Luis Potosí
Y es mi barrio, San Miguelito
Del centro de México soy
Soy, por Dios, corazón solito

Yo soy de San Luis Potosí
El nopal dibujó enterito (¿De dónde, manito?)
Donde el águila paró y su estampa dibujo
En el lienzo tricolor

Vecino de diez estados
De Nuevo León, y Querétaro, y Jalisco soberano
De la alegre Aguascalientes
De la alegre Aguascalientes

Y famosas desfilando
A su feria de San Marcos
A su feria de San Marcos, voy contento año tras año
Buen amigo es Guanajuato
Buen amigo es Guanajuato, colonial y gran soldado
Ayayay, ayayay
Vecino de Tamaulipas de Coahuila y Zacatecas
Como Hidalgo y Veracruz
San Luis tiene su Huasteca
(Y por eso siempre digo)

Yo soy de San Luis Potosí, que el nopal dibujó enterito
Donde el águila paró y su estampa dibujó en el lienzo tricolor
Yo soy de San Luis Potosí
De san San Luis Potosí",1,False,2000,san luis potosí barrio san miguelito centro méxico dios corazón solito san luis potosí nopal dibujó enterito dónde manito águila paró estampa dibujo lienzo tricolor vecino diez estados nuevo león querétaro jalisco soberano alegre aguascalientes alegre aguascalientes famosas desfilando feria san marcos feria san marcos contento año tras año buen amigo guanajuato buen amigo guanajuato colonial gran soldado ayayay ayayay vecino tamaulipas coahuila zacatecas hidalgo veracruz san luis tiene huasteca siempre san luis potosí nopal dibujó enterito águila paró estampa dibujó lienzo tricolor san luis potosí san san luis potosí,13
Antonio Aguilar,Corridos,2003,Fusilamiento Del General Felipe Angeles,"En 1920
Señores, tengan presente
Fusilaron en chihuahua
A un general muy valiente

En el Cerro de la Mora
Le toco la mala suerte
Lo tomaron prisionero
Lo sentenciaron a muerte

Ángeles, mando un escrito
Al Congreso de la Unión
A ver si lo perdonaban
Y alcanzaba salvación

Pero no le permitieron
Por ser un reo militar
Y dijo a sus compañeros
Ya me van a fusilar

Cantaba una palomita
Cuando estaba prisionero
Se acordaba de sus tiempos
Cuando él era guerrillero

De artillero comenzó
Su carrera militar
Dentro de poquito tiempo
Llego a ser un general

¡Presente, mi General Ángeles!, ¡presente!

El reloj marca sus horas
Se llega la ejecución
Preparen muy bien sus armas
¡Apúnteme al corazón!

Yo no soy de los cobardes
Que le temen a la muerte
La muerte no mate a nadie
La matadora es la suerte

Ya con esta me despido
Por las hojas de un Nogal
Fusilaron en Chihuahua
A un valiente general",1,False,2000,señores tengan presente fusilaron chihuahua general valiente cerro mora toco mala suerte tomaron prisionero sentenciaron muerte ángeles mando escrito congreso unión ver perdonaban alcanzaba salvación permitieron ser reo militar compañeros fusilar cantaba palomita estaba prisionero acordaba tiempos él era guerrillero artillero comenzó carrera militar dentro poquito tiempo llego ser general presente general ángeles presente reloj marca horas llega ejecución preparen armas apúnteme corazón cobardes temen muerte muerte mate nadie matadora suerte despido hojas nogal fusilaron chihuahua valiente general,13
Antonio Aguilar,Corridos,2003,Corrido De Durango,"En Durango comenzó
Su carrera de bandido
Y en cada golpe que daba
Se hacia el desaparecido

Cuando llego a La Laguna
Robo estación de Horizonte
Desde entonces lo seguían
Por los pueblos y los montes

Ay, ay, ay, ¡qué viva, Francisco Villa!

Dónde estás, Francisco Villa
General tan afamado
Que los hiciste correr
A todos cómo venados

Gritaba, Francisco Villa
El miedo no lo conozco
¡Qué viva, Pancho Madero!
¡Y muera, Pascual Orozco!

Un día haya en el noroeste
Entre Tirzo y La Boquilla
Se encontraba acampadas
Las fuerzas de Pancho Villa

En Durango comenzó
Su carrera de bandido
En cada golpe que daba
Se hacia el desaparecido",1,False,2000,durango comenzó carrera bandido golpe daba hacia desaparecido llego laguna robo estación horizonte entonces seguían pueblos montes viva francisco villa dónde francisco villa general afamado hiciste correr todos venados gritaba francisco villa miedo conozco viva pancho madero muera pascual orozco haya noroeste tirzo boquilla encontraba acampadas fuerzas pancho villa durango comenzó carrera bandido golpe daba hacia desaparecido,13
Antonio Aguilar,Antonio Aguilar Con Mariachi,2003,Pajarillo Enamorado,"Yo tengo un pajarillo que es muy enamorado
Tenía una palomita de piquito dorado
Se fue pa' la lomita y solito se ha quedado
Se va a las nopaleras a comer sus tunitas
Allí nomás espera a las pobres palomitas
Y quieras que no quieras se van desplumaditas

Cuando llegue a su jaula donde lo tengo preso
La frente trae mojada por gusgo y sin vergüenzo
Le viene dando el agua del rabo hasta el pescuezo
Yo me encontré una tarde a una linda señorita
Yo vi que entre sus manos traía una palomita
Le dije si la vende haremos trato ahorita

No señor no la vendo todavía está chiquita
Que crezca otro poquito de usted la vueltecita
Y entonces convendremos que al fin yo soy solita

Llego el feliz momento de que nos encontramos
La llevo a mi aposento y allí nos arreglamos
Y aunque con sentimiento pero así nos casamos",1,False,2000,tengo pajarillo enamorado tenía palomita piquito dorado lomita solito quedado nopaleras comer tunitas allí nomás espera pobres palomitas quieras quieras desplumaditas llegue jaula tengo preso frente trae mojada gusgo vergüenzo viene dando agua rabo pescuezo encontré tarde linda señorita vi manos traía palomita dije vende haremos trato ahorita señor vendo todavía chiquita crezca otro poquito usted vueltecita entonces convendremos fin solita llego feliz momento encontramos llevo aposento allí arreglamos sentimiento casamos,14
Grupo Marrano,Pornocorridos Y Más.. (Episodio 1),2003,El Ansioso,"Estoy ansioso de veras
De llegar pronto a su casa
Para sacarme la verga
Y que me de unas mamadas
Y antes de que se de cuenta
Voy a venirme en su cara
La tomare por sorpresa
Le mamare su burrito
Le arrancare con los dientes
Tres tal vez cuatro pelitos
La volteare con gran fuerza
Y se lo are de perrito
Me ha pasado alguna vez
Que hasta la he hecho llorar
Pero me encanta meterla
Y se tiene que aguantar
Al fin y al cabo le gusta
La he escuchado murmurar
Que si ella pierde mi verga
No quedara que mamar
Yo soy el ansioso
De mamarte todo el oso
De chiquitiarte el chicloso
Que importa si está apestoso
Yo soy el ansioso
Pondré mi verga en sus tetas
Para una puñeta rusa
Tal vez de pura mamada
Pongo en su cara mi trusa
Y eso nomas pa' hostigarla
Por que se que no le gusta
Le haré un pellizco que duela
Voy a morderle la espalda
La meteré por el culo
Aunque me salga con caca
Le dejare por completo
Todas aguadas las nalgas
De su sala a la cocina
Y hasta en el cuarto de atrás
También en su lavadora
Y en la mesa del billar
Voy a dejársela ir toda
Pues traigo fuerzas de más
Y si entre mas más se queja
Más se la voy a atascar",1,False,2000,estoy ansioso veras llegar pronto casa sacarme verga unas mamadas antes cuenta venirme cara tomare sorpresa mamare burrito arrancare dientes cuatro pelitos volteare gran fuerza are perrito pasado alguna hecho llorar encanta meterla tiene aguantar fin cabo gusta escuchado murmurar ella pierde verga quedara mamar ansioso mamarte todo oso chiquitiarte chicloso apestoso ansioso pondré verga tetas puñeta rusa pura mamada pongo cara trusa nomas hostigarla gusta haré pellizco duela morderle espalda meteré culo salga caca dejare completo todas aguadas nalgas sala cocina cuarto atrás lavadora mesa billar dejársela ir toda traigo fuerzas queja atascar,7
Los Tigres Del Norte,El Ejemplo,2003,El Ejemplo,"No me digas que ahora te extraña
Porque yo he cambiado contigo
Si tú misma me abriste las alas
Fue tu modo razón y motivo
No te olvides que tú me empujabas
A volar donde no era mi nido

Muchas veces te veo sorprendida
Pues te beso y soy cariñoso
Solamente si estas con mis hijos
Porque a solas ya no te soporto
Es por ellos que no me decido
A exigirte el maldito divorcio

Por que yo no he de dar el ejemplo
De dejar a mis hijos sin padre
Yo prefiero morirme a tu lado
Aunque vivamos como rivales
Frente a ellos te haré una caricia
Pero es falsa de sobra lo sabes

Si algún día te dijeran mis hijos
Que el destino nos ha distanciado
Tú les dicen que no se preocupen
Que seguimos muy enamorados
Que tu cuerpo de hielo me brinda
El calor que yo siempre he deseado

Por que yo no he de dar el ejemplo
De dejar a mis hijos sin padre
Yo prefiero morirme a tu lado
Aunque vivamos como rivales
Frente a ellos te haré una caricia
Pero es falsa de sobra lo sabes.",1,False,2000,digas ahora extraña cambiado contigo misma abriste alas modo razón motivo olvides empujabas volar era nido muchas veces veo sorprendida beso cariñoso solamente estas hijos solas soporto ellos decido exigirte maldito divorcio dar ejemplo dejar hijos padre prefiero morirme vivamos rivales frente ellos haré caricia falsa sobra algún dijeran hijos destino distanciado preocupen seguimos enamorados cuerpo hielo brinda calor siempre deseado dar ejemplo dejar hijos padre prefiero morirme vivamos rivales frente ellos haré caricia falsa sobra,0
Antonio Aguilar,Norteño,2003,Burra Tordilla,"Ay, ja, ja

Con una carga de leña
Venía a pie por la vereda
Cuando me hallé a mi comadre y me dijo
""Se va o se queda""

En una burra tordilla
Sin aparejo y sin nada
Del arroyo de los Fresnos
Venía recién bañada

Mi comadre me decía
Cuando me enanqué en la burra
""Compadre, hágase pa'trás
¿Que no ve que me apachurra?""

Ay, ja, ja
El compadre le decía
""Perdóneme, comadrita, pero es que vamos a la cuesta abajo""
Ja, ja
Ay-ah
Uah

""Disculpe usted, comadrita""
Yo le respondí apenado
Es que la burra maldita
Ta con el lomo empinado

Empinado ni que nada
Paró la burra y me dijo
A pata por la vereda
""Diantre, compadre canijo"", ja, ja

Mi comadre me decía, oh
Cuando me enanqué en la burra
""Compadre, hágase pa'trás
¿Que no ve que me apachurra?""",1,False,2000,carga leña venía pie vereda hallé comadre queda burra tordilla aparejo nada arroyo fresnos venía recién bañada comadre decía enanqué burra compadre hágase trás ve apachurra compadre decía perdóneme comadrita cuesta abajo uah disculpe usted comadrita respondí apenado burra maldita ta lomo empinado empinado nada paró burra pata vereda diantre compadre canijo comadre decía enanqué burra compadre hágase trás ve apachurra,14
Antonio Aguilar,Banda,2003,Cuatro Milpas,"Cuatro milpas tan solo han quedado
Del ranchito que era mío, ay, ay, ay, ay
De aquella casita tan blanca y bonita
Lo triste que está

Las palmeras lloran por su ausencia
La laguna se secó, ay, ay, ay, ay
La cerca de alambre que estaba en el patio
También se cayó

Me prestaras tus ojos morena
Los llevo en el alma, que miren allá
Los despojos de aquella casita
Tan blanca y bonita lo triste que está

Los potreros están sin ganado
Toditito se acabó, ay, ay, ay, ay
Y ya no hay palomas, ni flores, ni aromas
Ya todo acabó

Cuatro milpas que tanto quería
Pues, mi madre las cuidaba, ay, ay, ay, ay
Los peones y arrieros, toditos se fueron
Y nadie quedó

Y por eso está triste morena
Por eso me pongo muy triste a llorar
Recordando las tardes felices
Que los dos pasamos en aquel lugar",1,False,2000,cuatro milpas quedado ranchito era mío aquella casita blanca bonita triste palmeras lloran ausencia laguna secó cerca alambre estaba patio cayó prestaras ojos morena llevo alma miren despojos aquella casita blanca bonita triste potreros están ganado toditito acabó palomas flores aromas todo acabó cuatro milpas tanto quería madre cuidaba peones arrieros toditos fueron nadie quedó triste morena pongo triste llorar recordando tardes felices pasamos aquel lugar,0
La Arrolladora Banda El Limón De Rene Camacho,Más Adelante,2009,Mi Error,"Hijo ven, sentémonos un rato a platicar
Quiero saber, que hace este polvo blanco dentro de un papel
También se, que portas armas sucias de un duro metal
Que llegas tarde a casa y maltratas a tu mama

Contesto, revise sus bolsillos dígame que trae
Trae polvo igual al mio dime usted papá
Usted fue quien me dio un arma de hule y la repuse por metal
Con usted creció el ejemplo aun lado y su retrato aquí ha de estar

A mamá la llegabas golpeando cuando venias de tomar
Con que cara vienes a juzgarme tu papá
Si tengo escuela de un hombre que fue ejemplar
Lagrime me ha destrozado el alma lo que me ha dicho es verdad
Siempre el maestro de casa no supe enseñar
Y crié una fiera difícil de dominar

Yo sembré y cosecho reclamos de la cruel verdad
La pedrada fue la fuente y comenzó a sangrar
Perdóname hijo por no saberte educar

Hijo, tu todavía estas muy chico
Y tal vez no entiendas muchas cosas
Pero te prometo que por ti voy a cambiar

A mamá la llegabas golpeando cuando venias de tomar
Con que cara vienes a juzgarme tu papá
Si tengo escuela de un hombre que fue ejemplar
Lagrime me ha destrozado el alma lo que me ha dicho es verdad
Siempre el maestro de casa no supe enseñar
Y crié una fiera difícil de dominar

Yo sembré y cosecho reclamos de la cruel verdad
La pedrada fue la fuente y comenzó a sangrar
Perdóname hijo por no saberte educar.",1,False,2000,hijo ven sentémonos rato platicar quiero saber polvo blanco dentro papel portas armas sucias duro metal llegas tarde casa maltratas mama contesto revise bolsillos dígame trae trae polvo igual mio dime usted papá usted dio arma hule repuse metal usted creció ejemplo aun retrato mamá llegabas golpeando venias tomar cara vienes juzgarme papá tengo escuela hombre ejemplar lagrime destrozado alma dicho verdad siempre maestro casa supe enseñar crié fiera difícil dominar sembré cosecho reclamos cruel verdad pedrada fuente comenzó sangrar perdóname hijo saberte educar hijo todavía estas chico entiendas muchas cosas prometo cambiar mamá llegabas golpeando venias tomar cara vienes juzgarme papá tengo escuela hombre ejemplar lagrime destrozado alma dicho verdad siempre maestro casa supe enseñar crié fiera difícil dominar sembré cosecho reclamos cruel verdad pedrada fuente comenzó sangrar perdóname hijo saberte educar,14
Pablo Montero,Con Ganas De Amar,2009,El Mil Amores,"De altamira tamaulipas traigo esta alegre cancion, cancion del viejo violin y jarana canto yo
a las mujeres bonitas que son de mi adoracion
de altamira tamaulipas traigo esta aleeeeeeegre cancion
(echele mi javier) aaaaaaaaiii
si la vida es una jardin, las mujeres son las flores, el hombre es eel jardinero que corta de las mejores, yo no tengo preferencia por ninguna de las flores me gusta cortar de todas me gusta seeeeeeiiiir mil amoreeeeeeees
dichoso aquel que se casa y sigue la vacilada, siempre anda jugando contras
a escondidas de su amada
pero mas dichoso yo que no me hace falta nada, tengo viudas y solteras
y una que ooooouuuutra casada
pero mas dichoso yo que no me hace falta nada, tengo viudas y solteras y una que ouuuuuuutra casaaaaadaaaaa",1,False,2000,altamira tamaulipas traigo alegre cancion cancion viejo violin jarana canto mujeres bonitas son adoracion altamira tamaulipas traigo aleeeeeeegre cancion echele javier aaaaaaaaiii vida jardin mujeres son flores hombre eel jardinero corta mejores tengo preferencia ninguna flores gusta cortar todas gusta seeeeeeiiiir mil amoreeeeeeees dichoso aquel casa sigue vacilada siempre anda jugando contras escondidas amada dichoso falta nada tengo viudas solteras ooooouuuutra casada dichoso falta nada tengo viudas solteras ouuuuuuutra casaaaaadaaaaa,7
Los Tigres Del Norte,La Granja,2009,El Diputado,"Nomás de pura chulada
Se me ocurrió la puntada
De aclarar... qué está pasando

Están en mi territorio
Sin haberlo negociado
Se prohíben los amparos
Soy un diputado honrado

El vecino Guatemala
De dólares inundado
Voz en cuello... ha denunciado
Que los dólares que rolan
Son del narco mexicano
Y las más altas esferas
Las controlan a su agrado

Empresas transnacionales
Y funcionarios corruptos
Nuestros bancos... eclipsaron
Con bonos samaritanos
Prometiendo ayuda al banco
Nos dejaron sin calzones
Y a emigrar nos obligaron
La vox populi no miente
Es un diputado honrado

Desde que tengo conciencia
Los mandatarios corruptos
Son la desgracia del pueblo
Que protestan protegernos
Que me corten la cabeza
Todos saben que no miento
Si más de dos lo cumplieron

Empresas transnacionales
Y funcionarios corruptos
Nuestros bancos... eclipsaron
Con bonos samaritanos
Prometiendo ayuda al pueblo
Nos dejaron sin calzones
Y a emigrar nos obligaron
La vox populi no miente
Es un diputado honrado",1,False,2000,nomás pura chulada ocurrió puntada aclarar pasando están territorio haberlo negociado prohíben amparos diputado honrado vecino guatemala dólares inundado voz cuello denunciado dólares rolan son narco mexicano altas esferas controlan agrado empresas transnacionales funcionarios corruptos nuestros bancos eclipsaron bonos samaritanos prometiendo ayuda banco dejaron calzones emigrar obligaron vox populi miente diputado honrado tengo conciencia mandatarios corruptos son desgracia pueblo protestan protegernos corten cabeza todos saben miento cumplieron empresas transnacionales funcionarios corruptos nuestros bancos eclipsaron bonos samaritanos prometiendo ayuda pueblo dejaron calzones emigrar obligaron vox populi miente diputado honrado,7
Banda Machos,Casimira,2000,No Soy Monedita De Oro,"Nací norteño hasta el tope
Me gusta decir verdades
Soy piedra que no se alisa
Por más que talles y talles
Soy terco como los machos
¿A dónde vas? que no te hallé

En tu casa no me quieren
Porque me vivo cantando
Me dicen que soy mariachi
Y que no tengo pa' cuando
Comprarte el traje de novia
Que, el tiempo, te estoy quitando

No soy monedita de oro
Pa' caerle bien a todos
Así nací y así soy
Si no me quieren, ni modo

Esta es tuya y mía, mi'ja

El cielo tengo por techo
Nomás el sol por cobija
Dos brazos pa' mantenerte
Y un corazón pa' tu vida
Ve corre y dile a tus padres
A ver quién da más por su hija

Ay, corazón bandolero
Relincha, ya, cuanto quieras
Por esa potranca fina
Que amanzarás cuando quieras
Tú y yo no tenemos prisa
Ahí nos querrán cuando quieran

No soy monedita de oro
Pa' caerle bien a todos
Así nací y así soy
Si no me quieren, ni modo",0,False,2000,nací norteño tope gusta decir verdades piedra alisa talles talles terco machos dónde hallé casa quieren vivo cantando mariachi tengo comprarte traje novia tiempo estoy quitando monedita oro caerle todos nací quieren modo tuya mía cielo tengo techo nomás sol cobija brazos mantenerte corazón vida ve corre dile padres ver hija corazón bandolero relincha cuanto quieras esa potranca fina amanzarás quieras tenemos prisa querrán quieran monedita oro caerle todos nací quieren modo,7
