artist,album,year,song,lyrics,es_narco_fuerte,subgenero_ia,conteo_narco,decada
Chalino Sánchez,Mis Mejores Canciones • 17 Super Exitos Vol. II,2008,Fierro Bazan,"Brinco las trancas un potro matrero y bien educado
querian ayar un culpable, la ocasion se a presentado
en la Baja California, los tenian en cerrados
precidio de Mexicali. un coral muy respetado

lo tenian prisionero por delitos federales
aunque no tenia culpa, era muy gran de los males
al visitar a un amigo, lo aprendieron los federales
los llevaron detenidos, con sus tratos especiales

fierro bazan les decia, nose de que estan hablado
junto con sus companeros, los estaban torturando
queria echarle la culpa, de algo que habian agarrado
el grande se aya verido, pero bien recomendado

siempre triunfa la verdad, y resalta la inosensia
fierro se ayaba tranquilo, tenia limpia la concencia
sabia que con su dinero, tambien con su inteligencia
tenian que degarlos libres, por respeto a su precencia

lindas tierras michoacanas, que ganaste ya de verlas
de mi ranchito bonito, querian dar en sus parcelas
yo soy libre como el viento, y nadien jamas me lleva
y el que lo quiera intentar, que se traiga 4 velas

anda sueltoun gallo fino, nose vuelvan a enrredar
dicen que mejor se mueren, si los quieren arrestar
lo dije y se los repito, que nadien me va a en cerrar
solo en la caja de muertos, cuando me ayan de en terrar

llame despido de todos, adios prision de la baja
grabenselo en la memoria, que fierro nunca se raja
las rejas se estan abriendo, porque rifo las marmaja
y un comandante de miedo, dicen que sedio de baja",True,0,5,2000
Chalino Sánchez,Mis Mejores Canciones • 17 Super Exitos Vol. II,2008,Lucio Villareal,"Año del '76, 27 de Noviembre,
Mataron a un gallo fino, llévenlo siempre presente
Lucio Villarreal, tu nombre, quedó grabado en la gente
El Estado de Durango, tierra que lo vió nacer
Y en Culiacán, Sinaloa, fortuna logro tener
Después viajo al extranjero, para mirarla crecer
Lucio salió de Tijuana, en avión iba volando
No sabía que en Culiacán, la muerte andaba asechando
Que otro día por la mañana, ya lo iban a estar velando

Hubo un pleito entre familia, y El Borrego lo mató
Y al poco tiempo del crimen, la muerte también lo halló
Cuando salía de Durango, a tiros también cayó
Disfrutó mucho la vida, ya imaginaba su fin
Baudelio Chaidez y Nacho, también su hermano Juan Luis
Lo recuerdan con cariño, cuando todo era feliz
En Lomas del Boulevard, tenía su residencia
Sus hijos y sus hermanos, sufren mucho por su ausencia
Lo extrañan y le echan menos, hace falta su presencia",True,5,5,2000
Pesado,Defendiendo El Honor: Corridos,2008,La Chiva Colgada,"Año del 51 que fecha tan memorable
25 de noviembre un domingo por la tarde
Murió Roberto Martínez lo mato Jesús González

Avía baile en el poblado avía feria avía jugada
Como a las 3 de la tarde hubo una chiva colgada
Llego veto en su caballo para ver si la bajaba

Llego veto en si caballo con mucho gusto y placer
Pero no se imaginaba lo que le iba a suceder
Que González hay andaba y no lo podía ver

Empezaron a brincar sin que la chiva bajara
Veto era hombre de valor y buen caballo montaba
Nomas que cuando brincaba la chiva le levantaba

González bajo el cabresto y se la llevo a un amigo
Roberto de su caballo le gritaba enfurecido
Yo creí que tú eras hombre no creí que eras vendido

Dejo veto su caballo y a la cantina volvió
Nomas al cruzar el patio González de atrás le hablo
Nomas a que diera frente su pistola disparo

Roberto callo Pa tras y en su sangre se batía
Y González asustado no hallo donde se mentía
Amagando a los presente huyo de la policía

Ya con esta me despido con dolor del corazón
Dispénselo mal probado mil gracias por su atención
Esta sangrienta tragedia paso en madis nuevo león",True,6,5,2000
Pesado,Defendiendo El Honor: Corridos,2008,El Rengo Del Gallo Giro,"Llegó rengueando un viejito
A las puertas de un palenque
Un gallo giro llevaba
Y se lo mostro a la gente
También bastante dinero
Quería una pelea muy fuerte

Allá por aguascalientes
Un derbi se celebraba
Y cuando entro aquel viejito
A los partidos retaba
Quería jugar dos millones
A una pelea extraordinaria

Bastante muy disgustado
Un hombre se levantó
Le dijo rengo maldito
Te quitaré lo bocón
Me gustaría más tu apuesta
Si le doblas el valor

Después que hicierón el trato
Mostrarón a un colorado
Su clase era Johnny Jumper
Legítimo americano
Todos los apostadores
Al giro se le voltearón

Cuando soltarón los gallos
En el aire se agarrarón
El giro cayó pa'trás
De la pechuga cortado
Pero cantaba en el ruedo
Había muerto el colorado

El rengo del gallo giro
Impresionó a los galleros
Porque llevaba una bolsa
A reventar de dinero
En un pueblo de Chihuahua
Ahí tienen su gallinero",True,5,5,2000
Los Tucanes De Tijuana,20 Corridos De Narcos Y Federales,2008,El Tigre De Tijuana,"Escuchen este corrido
De un pistolero de fama

Por el norte conocido
Como el tigre de Tijuana

Decían algunas personas
Que ya debía muchas vidas

De Texas a California
Su fama era conocida

También le hacia el contrabando
De la amapola y el polvo

Ya tenía el camino andado
Pero siempre andaba solo

Una ves que lo agarraron
Con la droga en San Francisco
En la cárcel lo encerraron
Porque era un hombre de delito

Cuando cumplió sus sentencia
Lo echaron pa' la frontera

Pero tenia en su conciencia
Una venganza muy negra

Con el demonio metido
Preparo muy bien su rifle

Se dirigió a San Isidro
Y mato a cuatro sherifes

Al tigre lo asesinaron
A un ladito de la aduana

Y así ya muerto lo echaron
De nuevo para Tijuana

Murió el tigre de Tijuana
Pero cumplió su venganza
El pistolero de fama
Y aquella horrible matanza",True,12,5,2000
Los Tucanes De Tijuana,20 Corridos De Narcos Y Federales,2008,El Fantasma,"El gobierno americano
Dice ke no puede ser
Ke aya un hombre en este mundo
Ke se burle de su ley
Los esta volviendo locos
Un cerebro kon poder

El fantasma le han nombrado
Por ke no se deja ver
La verdad si no la han mirado
Pero no saben kien es
Tal vez su nombre conosen
Pero hay nombres pa'escojer

Los agentes de la D.E.A
Una llamada captaron
Escucharon una cita
Y fueron y lo esperaron
El fantasma entro y salio
Y los leyes lo ignoraron

Es un nombre inteligente
A kedado komprobado
Los agentes policias
Varias trampas le han armado
Pero no sirven de nada
Se les va por otro lado

El fantasma muy trankilo
Se pasea por donde kiera
Si lo ven en california
Al rato ya esta en su tierra
Para conkistar mujeres
El fantasma es una fiera

Su pistola es toda de oro
Kon su nombre diamantado
Y la serrojea en el aire
Eso pokos lo han logrado
Si la saca es para usarla
Varios ya lo han comprobado

Komo 5 toneladas
En un mes logro meter
Por eso la policia
Se ha llegado a enfurecer
Pa'el fantasma no hay peligro
Por ke el peligro es el",True,0,5,2000
Los Tucanes De Tijuana,20 Corridos De Narcos Y Federales,2008,El Soldado Militar,"A un soldado militar
Lo mandaron a su tierra
Para destruir plantíos
De donde nace la yerba
Llevaban sus provisiones
Para acampar en la sierra

Ya llevaban varios días
Trabajando sin parar
Cuando en la falda de un cerro
Había mucho que mirar
Encontraron una hectárea
Casi para cosechar

El teniente coronel
Les dijo así a sus soldados
A la orilla del plantío
Vamos a hacer acampados
Pa cuando llegue el momento
Agarrarlos descuidados

El soldado militar
Se quedó haciendo la guardia
Cuando divisó dos hombres
Que venían por la falda
Era su padre y su hermano
Que venían a regarla

Como si fuera una fiera
Se volteó el soldado aquel
Matando a sus compañeros
Y al teniente coronel
Se desertó del gobierno
Nunca se ha sabido de él",True,12,5,2000
Valentin Elizalde,20 Exitos,2008,Traicion Federal,"A mi rancho ganadero, llegaron los federales
Por que me pusieron dedo, segun hiban a agarrarme
Pero no les dare el gusto, muerto antes que entregarme.

Mi gente y yo nos fajamos, rodeados de federales
Nos rociaron bien la casa, aviones y los hangares
Pero con trajes de buzo, nadamos hasta Rosales.

Se vino un operativo, de verdes y judiciales
Buscandome hasta el codillo, desde la sierra hasta el valle
Quemando mis sembradios, confiscando propiedades.

Ahora unos judiciales, usan muy modernas armas
Y les borraron la serie, pa'que pudieran portarlas
No vaya ser que algun dia, vuelva y quiera reclamarlas.

Ahora 3 comandantes los han cambiado de zona
La cuenta he de cobrarles, mi mafia no los perdona
Si un dia hasta fuimos compadres, no se pa' que me traicionan.

Ya me voy, ya me retiro, nadie podra estar tranquilo
Voy a cobrarles la cuenta a esos que fueron amigos
Ya me voy de cazeria por eso ya me despido.",True,0,5,2000
Valentin Elizalde,20 Exitos,2008,Embarazo Falso,"Con un embarazo falso
Pasaron pa' el otro lado
Eran Laurita y Arturo
Burreros muy afamados
Desde hace mucho que cruzan
Todo lo que traen planeado

Un doctor allá en la sierra
Cirujano muy capaz
Logró operar a Laurita
Para una panza portar
Cargada con cocaína
Para poderla cruzar

En un retén de Sonora
Un comandante sospecha
Que algo traían oculto
Aquella alegre pareja
Porque siempre se movían
Rascándose la cabeza

Y hay que irnos pa'l otro lado oiga
Pura de la buena

Ordena a sus compañeros
Revisen la camioneta
Pa' mí que estos son burreros
Preparen las metralletas
Porque estos nunca andan solos
Y a todo mundo se afrentan

Después de revisar todo
Al ver que nada se encuentra
El comandante a su modo
Nomás se da media vuelta
Con un disculpen ni modo
Que pase la camioneta

Con seis años de embarazo
La gente se ha preguntado
¿Dónde dejan a sus hijos
Por qué no los han cargado?
La pareja les contesta
Pues se nos han malogrado",True,0,5,2000
Valentin Elizalde,20 Exitos,2008,El Mensaje,"""Llévame éste mensaje"", así lo dijo el padrino
Quiero que llegue muy pronto a dónde es su destino
Va todo bien anotado, cuídate por el camino
El aviso es importante, de asunto confidencial
Cuídate de algún soplón, también de la judicial
Y de uno que otro soldado, también de la Federal

Señor me dicen el Zorro, soy astuto en verdad
Yo trabajo para usted porque sí sabe pagar
Si este aviso es al infierno, allá lo voy a llevar

Y ahí le va pa' mi padrino, oiga, ¡El Zetas!
¡Hasta Hermosillo Sonora!

Dos hombres se me acercaron cuándo llegué a aquel lugar
Me hicieron unas preguntas que yo empecé a contestar
Vengo de allá de Sonora por el desierto de Altar
El mensaje decía en clave que no iban a trabajar
""El agua está muy revuelta, las cargas hay que parar""
""Avísenle esto a mi gente, no me vayan a fallar""
El padrino es muy astuto pa' cuidar su mercancía
Porque de él no han agarrado ni un carro la policía
Ya me mandó este mensaje con el Zorro aquel día",True,0,5,2000
Chalino Sánchez,Mis Primeros 20 Exitos Con Banda,2008,Silvestre Murillo,"por carretera anda en troca, por el cerro en un potrilllo
muy bueno para montar, porque lo hace de chiquillo
asi comensa el corrido, del buen silvestre murillo

culiacan tiene su fama, eso ya esta comprobado
por los hombres que cosechan, que deveras son bragados
hay se la rifa silvestre, por muchos ya respetados

es ranchero cien porciento, es un rico ganadero
en el pokar y la banda, a gastado su dinero
en todo lo que se ofrece, le gusta ser el primero

aunque tiene poca edad, es larga su trayectoria
no lo puede detener, ni una linea divisoria
ese silvestre murillo, a de quedar en la historia

sus padres se lo aconsejan, que se la lleve calmado
y silvestre les contesta, la vida traigo prestada
nomas venimos al mundo, un momento y de pasada

por las buenas es muy bueno, no se les vaya olvidar
pero que nadien le busque, porque le puede pesar
se los dejo de tarea, si alguien lo quiere calar

desde el ranchito del tule, como ustedes ya sabran
ven a silvestre murillo, pronto lo comprobaran
en flamante camionete, con destino a culiacan",True,0,5,2000
Valentin Elizalde,Corridos Entre Amigos,2008,118 Balazos,"Ya tres veces me he salvado
De una muerte segurita
Con puro cuerno de chivo
Me han tirado de cerquita
118 balazos
Y Diosito me los quita

La primera fue en mi casa
Me quisieron secuestrar
Pero no dejé agarrarme
Me empiezan a disparar
Fueron 28 balazos
Me dieron uno nomás

En la segunda ocasión
Fue saliendo de Ensenada
Me tiraron de unos carros
Dos ráfagas de metralla
60 tiros de cuerno
Tres balazos me pagaban

(¡Ja, ja, ja-i-ah!)
Y ahí le va un saludo pa' mi compa el Tesoro de Sinaloa
Y vámonos pa' Tijuana compa (¡vámonos!)

La tercera es la vencida
Dice un dicho muy mentado
Me agarraron en Tijuana
Con dos cuernos dispararon
Ahí fueron 30 balazos
Pero ni uno me pegaron

Para proteger mi vida
Dios me cobija en sus brazos
Al tesoro no han matado
118 balazos
La Virgen de Guadalupe
Me anda cuidando los pasos

Adiós ciudad de Tijuana
Ya no me van a mirar
En mi Ford '79
Pasearme en el bulevar
Ahí por la Sanchez Taboada
La Revo y la Cucapah",True,12,5,2000
Valentin Elizalde,Corridos Entre Amigos,2008,El Narco Batallón,"Se estremecieron los pinos
y no crean que fue en la sierra
es que hasta la presidencia
llegaba la lista negra
de que 600 soldados
permitían sembrar la hierba,
la sierra de mocorito
para Irapuato también
estaba grande el arreglo
abarcó hasta san Javier
se juntaron los ranchemos
y compraron el cuartel
ay Guamuchil Sinaloa
te llevo en mi corazón
ahora te dieron mas fama
por el narco batallón
cabos sargento y guachos
ahora ya están en prisión
esto era año con año
siempre se podía arreglar
la gente paga al gobierno
paque los deje sembrar
y no tumben los plantios
y asi poder cosechar
pero todo esto acabo
fue por culpa de un sargento,
un teniente lo golpeo
por no aceptar un arreglo
de lo que les digo yo
la polla es testigo de esto,
mi Guamuchil Sinaloa
nunca te podre olvidar
ahora te dieron mas fama
por el narco federal
ahora la gente en la sierra
no va a poder arreglar",True,0,5,2000
Valentin Elizalde,Corridos Entre Amigos,2008,Rodolfo Campa Roldan,"Rodolfo Campa Roldan un federal de caminos
un hombre a carta caval de su deber muy cumplido
de jerarquia oficial a teniente habia ascendido.

Un policia judicial que un día le hizo compadre
le propuso en Mazatlan tratar con los traficantes
los narcos de Culiacan bien sabran recompensarte.

Debes compadre olvidarlo yo no soy de esa calaña
yo cumplo con mi deber y no le temo a la mafia
para eso me educaron y no traiciono a mi patria.

Ya no hablaron mas de aquello por que era por demas
en el reten de Salado Rodolfo Campa Roldan
descubrio un gran contrabando y no lo dejo pasar.

Fecha 23 de Junio en el año 89 en Culiacan Sinaloa
Rodolfo encontro la muerte traicionado en mala hora
por que era un hombre valiente.

Por la forma en que murio se que lo mato un amigo
por que no se defendio siendo un hombre decidido
por que solo se escucho sonar un cuerno de chivo.",True,12,5,2000
Chalino Sánchez,Norteñisimo,2008,Loreto Mendoza,"Voy a recordar a un hombre
Pongan toda su atención
En el rancho de Las Tapias
Lo mataron a traición
El día nueve de abril
La muerte lo sorprendió

Hacía como tres días
Que a su tierra había venido
Disfrutaba de la vida
Tomando con sus amigos
No sabiendo que muy pronto
Ya lo mirarían tendido

Murió Loreto Mendoza
Una noche negra y fría
Por las manos de un cobarde
Que de frente le temía
Se encontraba desarmado
La muerte no presentía

A los hombres que son hombres
No se les mata a mansalva
Se les mata pecho a pecho
Con su pistola fajada
Pero los que son cobardes
Siempre matan por la espalda

""Con la vara que tú mides
Con esa serás medido""
Ese es un dicho muy cierto
Muchas veces se ha cumplido
Porque una infamia tan grande
No ha de quedar sin castigo

Vuela, vuela, palomita
Vuela y tráeme aquella rosa
Y a todos mis amigos
Solo les digo una cosa
Que estos versos son compuestos
Para Loreto Mendoza",True,12,5,2000
El Palomo Y El Gorrion,D.L.V. 40 Aniversario,2008,Conchita La Viuda Alegre,"Calle de la Palma Real
¿Por que estas tan asombrosa?
""Por la muerte de un amigo
Que lo ha matado su esposa""

A las once de la noche
Conchita empezó a pensar
Voy a matar mi marido
Para poderme pasear

Cuando ya estaba dormido
Conchita se le acercó
Perdoname maridito
Ya tu hora se te llego

Conchita, no seas ingrata
¿Por que me vas a matar?
""Por un amigo que tienes
Que va ocupar tu lugar""

La gente lo presentia
La gente lo comentaba
Ahi viene la viuda alegre
Decian, cuando pasaba

Luego que ya lo mato
Lo abrazaba y lo movia
Ahora si ya te moriste
Tesoro, del alma mía

El juez de letras le di
""Conchita, no llores mas
Mira, yo no te castigo
Pues viuda, me gustas mas""

Entre parranda y parranda
Conchita se divertía
Ya se la llevaron presa
Y de la justicia reia

Cantaban los criminales
Alla en las Islas Marías
Pa que escuchara Conchita
Que alli pasaba unos días

La gente lo presentia
La gente lo comentaba
Ahi va la viuda alegre
Decian, cuando pasaba",True,5,5,2000
Los Tigres Del Norte,20 Corridos Prohibidos,2007,El Canelo,"Bajo una avioneta Cessna
Allá por Guadalajara
Iba a llevar las apuestas
De la carretera afamada

Onofre le dijo al Chapo
Hoy traigo la rienda suelta
En cuanto bañé al Canelo
Me voy a ver a mi prieta

Veinte carreras invicto
Según su récord de lista
Onofre el amó del aire
El Canelo de las pistas

¡Qué tal señores Lagunés!
No cuiden tanto el dinero
Terrazas, Marqués y Guerra
Múzquiz y Nuevo Laredo
¡Por diez millones de verdes!
¡Quitenle el hipo al Canelo!

El macheteo, el Texano
¿Si ocupa billete verde?
Mi cuadra está en Navolato
Vengan a verme si quieren

Amigo Servando Cano
¿Quiere correr al Texano?
De dólares traiga pacas
Porque nosotros no fiamos

Onofre ya no te cuida
Ni el Chapo, su compañero
¡Tal vez les hiciste daño!
¡Por darles tanto dinero!

Ya llegando a Navojoa
Yo reto a José Ramírez
También a los Valenzuela
Hoy que la racha me sigue

¡Qué tal señores Lagunés!
No cuiden tanto el dinero
Terrazas, Marqués y Guerra
Múzquiz y Nuevo Laredo
¡Por diez millones de verdes!
¡Quitenle el hipo al Canelo!",True,0,5,2000
Los Tigres Del Norte,20 Corridos Prohibidos,2007,El Curita Y La Coqueta,"Año del noventa y nueve
el veinticinco de enero
no se me olvida la fecha
porque aposte mi dinero
a las patas del curita
de los hermanos Quintero.

Hasta el carril de aguamansa
en Riversade California
trajeron a la coqueta
del estado de Arizona
a correr con el curita
traía fama de campeona.

No era pericos señores
pero los verdes volaban
a la yegua de los Porras
las apuestas le sobraban
porque decían que al curita
fácilmente le ganaban.

Les damos al dos por uno
los de la yegua gritaban
yo vi las pacas de a miles
que los Quinteros sacaban
para topar los billetes
que a la coqueta apostaban.

Anda el cuyito Pérez
paseando ya a la coqueta
se miraba muy bonita
pero andaba muy inquieta
tal vez pensando en el triunfo
al fin que ya estaba impuesta.

El corredor del curita
un jockey de los mejores
les dijo apuesten sin miedo
que esta la gano señores
a mi me la Pérez Prado
mas de cuatro corredores.

Rompió el silencio un disparo
y los cajones se abrieron
toda la gente gritaba
se vinieron se vinieron
pero al salir el curita
rompió la cuerda primero.

En lo mas seguro hay riesgo
decía Juanito Carmona
nunca pensé que el curita
le quitarían la corona
en el carril de aguamansa
se destrono a la campeona.",True,0,5,2000
Pedro Infante,"Pedro Infante ""Sus Géneros"" 50 Años Después 1957-2007",2007,Jorge Negrete,"En la tierra de los charros mexicanos
Hay un hombre que nos honra de verdad
Es muy grande y a su sangre se desborda
La bravura el entusiasmo y la lealtad

Por ser macho enamorado y pendenciero
Lo vistieron con el traje nacional
Y justo es reconocer que ya escogieron
El más hombre, mas valiente y mas cabal

Jorge Negrete aquí te queremos
Y te admiramos por ser de ley
Representando tu sangre azteca
Te saludamos por ser de ley

De los valientes y enamorados
Y cumplidores a más no dar
Pues con pistola o desarmado
No ha habido nadie que te haga rajar

De esta tierra donde nace el hombre entero
Empuñando tu bandera y tu puñal
Y llegaste con tu corazón guerrero
A imponerte al extranjero allá en el mar

Y a tu Mexico muy en alto lo has dejado
Y aunque muchos por envidia no te dan
El lugar que corresponde a un mexicano
Que es orgullo de esta tierra del nopal

Jorge Negrete aquí te queremos
Y te admiramos por ser de ley
Representando tu sangre azteca
Te saludamos por ser de ley

De los valientes y enamorados
Y cumplidores a mas no dar
Pues con pistola o desarmado
No ha habido nadie que te haga rajar",True,0,5,2000
Los Tigres Del Norte,16 Éxitos Originales Vol. 2,2007,El Porro,"(¿Quién sabe del reportero Sánchez Lara?
Bueno, aquí nadie de nosotros estamos enterados)

Estoy viviendo en la sierra, pensando que no me encuentren
Porque me siguen las leyes, como a cualquier delincuente
Por haber escrito en la prensa, las mañas de un presidente

Buscando contrabandistas, me hallaron los federales,
Les dije soy periodista, y vieron mis credenciales
Resultaron ser muy nobles, pues no quisieron llevarme

Hay gente que si trabaja, para servir a mi Patria
Otros fingiendo ayudarle, resultan ser unas ratas
Y cuando alguien los descubre, si no le encierran lo matan

Devaluaron la moneda, antes dólares cambiaron
De la noche a la mañana, son pocos los millonarios
Mientras que el pueblo se hunde, pues no le alcanza el salario

Soy reportero y escribo, tan solo lo que ha pasado,
México es un gran país, y no hay forma de negarlo
Pues lo han robado tres siglos, y no se lo han acabado

A todos les viene el saco, si están llenando el morral
No se lleven el dinero, a otra parte a guardar,
Si en México se hacen ricos, aquí lo deben gastar",True,5,5,2000
Los Tucanes De Tijuana,El Papa De Los Pollitos,2007,El Rayito,"Le apodaban el rayito
por que el plebe era una bala
A pesar que era tan joven
no le tenía miedo a nada

Chaidez era su apellido
y Raymundo se llamaba
Era el día de su cumpleaños
20 por cierto cumplía

En el boulevard Anaya
la muerte lo sorprendia
Ráfagas de carro a carro
terminaron con su vida

A la familia ofendieron
era lo q pretendían
Con la muerte del rayito
sabían que lo lograrían

Y en verdad lo consiguieron
ya la mecha esta prendida
La moneda esta en el aire
y ahí venados en la mira

Era garañón el rayo
tenia amores donde quiera
Se dio los gustos que quiso
era gallo de adeveras

Tuvo hazañas muy pesadas
era de buena madera
Cuando el toro es encartado
el becerro nace fino

El rayito era de arranque
se moría por un amigo
Hasta pa portar pistola
el rayito tenia estilo

Adiós shakala Durango
ya me quede aquí en los llanos
Adiós muchachas bonitas
que sus mieles me entregaron

Adiós a toda mi raza
Culiacán ahí va un recado
Mas vale vivir de pie que morir arrodillado",True,12,5,2000
Los Tigres Del Norte,20 Corridos Inolvidables,2003,Gabino Barrera,"Gabino Barrera no entendía razones
andando en la borrachera
cargaba pistola con seis cargadores
le daba gusto a cualquiera.

Usaba el bigote en cuadro abultado
su paño al cuello enredado
calzones de mata, chamarra de cuero
traía punteado el sombrero.

Sus pies campesinos usaban huaraches
y a veces a raíz andaba
pero le gustaba pagar los mariachis
la plata no le importaba.

Con una botella de caña en la mano
gritaba ¡Viva Zapata!
porque era ranchero el indio suriano
era hijo de buena mata.

(Y arriba zapata hijos de Pacho Villa)

Era alto, bien dado, muy ancho de espadas
su rostro mal encachado
su negra mirada un aire le daba
al buitre de la montaña.

Gabino Barrera dejaba mujeres
con hijos por donde quiera
por eso en los pueblos donde se paseaba
se la tenían sentenciada.

Recuerdo la noche que lo asesinaron
venía de ver a su amada
dieciocho descargas de Máuser sonaron
sin darle tiempo de nada.

Gabino Barrera murió como mueren
los hombres que son bragados
por una morena perdió como pierden
los gallos en los tapados.",True,12,5,2000
Antonio Aguilar,Corridos,2003,Justicia A Villa,"Ya le hicieron justicia merecida
La que México pedía con razón
Al famoso General Francisco Villa
Es orgullo de toda mi nación

Ahora si el valiente general
Ya se cuenta un gran héroe mexicano
Ya está escrito en la historia nacional
Con letras de oro en un recinto oficial

Ya su patria está satisfecha
Porque el gobierno lo reconoció
En las batallas fue mano derecha
Luchando siempre en la revolución

Toda su gente, la viva y la muerte
Ya descansaron al verlo triunfar
Como triunfo frente al General Huerta
Y en mil batallas que no puedo numerar

Francisco Villa del norte era Centauro
Por su gran patria, lucho toda su vida
De cuna humilde, nacido haya en Durango
Su gran figura, del mundo conocida

Yo le canto a toda mi nación
Este corrido de mi gran general
De todo el mundo fue la admiración
Por su valor y gran capacidad",True,6,5,2000
Los Tigres Del Norte,Corridos Prohibidos,2003,R. Uno,"Estaba humeando el tizón
Y es que querían poner caldo
Voy a cantar un corrido
Que no podrán olvidarlo
Y es que atizaban el horno
De la caldera del diablo

Se oyó la voz de R-Uno
Un domingo en la mañana
Cuando le dijo a su gente
""Vamos a pizcar manzana
Ahí les dejo un anticipo
Y nos vemos en Chihuahua""

En la prensa publicaron
Por fuente de una embajada
""En un rancho del desierto
Allá en Búfalo, Chihuahua
Había diez mil toneladas
De la famosa manzana""

Se miró el FBI
En los lugares mentados
También muchos federales
Y unos hombres engañados
Pero al famoso R-Uno
Ni los soldados lo hallaron

El amor es peligroso
Aquí quedó comprobado
Por unos ojos bonitos
La soga le iban pisando
Lo hallaron en Costa Rica
En un castillo muy caro

El horno no está pa bollos
Huele a azufre del infierno
Lo acusan de muchas cosas
Casi me lo estoy creyendo
Yo no miro más que un paso
De la caldera al infierno",True,5,5,2000
Los Tigres Del Norte,Corridos Prohibidos,2003,La Mafia Muere,"Culiacán capital sinaloense
Convirtiéndose en el mismo infierno
Fue testigo de tanta masacre
Cuantos hombres valientes han muerto
Unos grandes que fueron del hampa
Otros grandes también del gobierno

Pistoleros que fueron famosos
Poco a poco se han ido acabando
Unos muertos otros prisioneros
Ya la mafia se esta terminando
Por la sangre que fue derramada
Solo hay luto y familias llorando

Se acabaron familias enteras
Cientos de hombres la vida perdieron
Es muy triste deberás la historia
Otros tantos desaparecieron
No se sabe si existen con vida
O tal ves en la gema murieron

Tierra blanca se encuentra muy triste
Ya sus calles están desoladas
No transitan los carros del año
Ni se escucha el rugir de metrallas
Las mansiones que fueron de reyes
Hoy se encuentran muy abandonadas",True,5,5,2000
Los Cuates De Sinaloa,Pegando Con Tuba,2009,Del Cielo Cayó una Rosa,"La ciudad se llama Duke
Nuevo Mexico el estado
Entre la gente mafiosa
su fama se a propagado
Causa de una nueva droga
que los gringos han creado

Dicen que es color azul
y que es pura calidad
Esa droga poderosa
que circula en la ciudad
Y los dueños de la plaza
no la pudieron parar

Tiene la plaza de Duke
El Tuco es face-a
Al Tuco le dieron pizo
Manejando su escalen
Un poco antes los gabachos
Quebraron al face-a

Anda caliente el cartel,
al respeto le faltaron
Hablan de un tal Heisenberg,
ke ahora controla el mercado
Nadie sabe nada de el,
por que nunca lo han mirado
El cartel es de respeto
y jamas a pardonado
Ese compa ya esta muerto
Nomas no le han avisado

(y asi suenan los cuates de sinaloa mi compa)

La fama de Heisenberg
Ya llego hasta michoacan
Desde alla quieren venir
A probar ese cristal
Ese material azul
Ya se hizo internacional

Ahora si le quedo bien
a Nuevo mexico el nombre
A mexico se parece
En tanta droga que esconde
Solo que hay un capo gringo
Por Heisenberg lo conocen

Anda caliente el cartel,
al respeto le faltaron
Hablan de un tal Heisenberg,
que ahora controla el Mercado
Nadie sabe nada de el,
por que nunca lo han mirado
A la furia del cartel
nadie jamas a escapado.
Ese compa ya esta muerto
Nomas no le han avisado",True,0,5,2000
La Arrolladora Banda El Limón De Rene Camacho,Más Adelante,2009,El Rengo,"Llegó rengueando un viejito a las puertas de un palenque
Un gallogiro llevaba y se lo mostró a la gente
También bastante dinero
Quería una pelea muy fuerte

Allá por Aguascalientes un derby se celebraba
Y cuando entro aquel viejito a los partidos retaba
Quería jugar los millones
A una pelea extraordinaria

Bastante, muy disgustado un hombre se levantó
Le dijo: ""rengo maldito te quitare lo bocón
Me gustaría más tu apuesta
Si le doblas el valor""

Después que hicieron el trato mostraron a un colorado
Su clase era Yoni Yomper legitimo americano
Todos lo apostadores
Al giro se le voltearon

Cuando soltaron los gallos en le aire se agarraron
El giro cayó pa' 'trás de la pechuga cortado
Pero cantaba en el ruedo
Se había muerto el colorado

El rengo del gallo giro impresionó a los galleros
Por que llevaba una bolsa a reventar de dinero
En un pueblo de Chihuahua
Ahí tiene su gallinero",True,5,5,2000
Los Tigres Del Norte,La Granja,2009,Los Aguaceros De Mayo,"Los aguaceros de mayo
Borraron las huellas que dejó el caballo
Perdieron el rumbo que siguió el jinete

Bajo de noche aquel gallo
Y al ver los relampagos truenos y rayos
Él solo se dijo:"" es mi noche de suerte""

Rosita, la hija de Antonio
Hombre con carácter del mismo demonio
Le entregó su amor a Juan Pablo, el sierreño

Como el papá se oponía
Decidió jugarse aunque bien lo sabía
Que se iba jugando la vida en su empeño

Un relampago, de pronto
Las sombras pintó del jinete y del portro
Y por un instante, uno al otro se vieron

Rosita brincó la cerca
Y en ancas del cuaco, se subió la cuerca
Y entre la tormenta, desaparecieron

Don Antonio enfurecido
Donde le pegaron, sí le había dolido
Fue una gran ofensa lo que hizo Juan Pablo

Los mataré, yo lo juro
Pues lo que me hicieron, se los aseguro
Es como ponerle espuelas al diablo

""Junto a la gente del pueblo""
""Los voy a encontrar y de un árbol los cuelgo""
Decía enfurecido Don Antonio Castro

Y se tragó su corage
Los hombres peinaron aquellos parajes
Pero la tormenta se tragó los rastros

Oculto en una cañada
Juan Pablo tranquilo le dice a su amada
""Si quieren buscarnos, aquí los espero""

Y a ellos les digo una cosa
Que me la robé para hacerla mi esposa
Y antes que a Rosita, se llevan mi cuero",True,5,5,2000
