artist,song,decada,etiqueta_codigo,etiqueta_humana,lyrics
Los Huracanes Del Norte,La Nota Roja,1990,True,,"A puro cuerno quemado
Daba el olor esa noche
Las armas relampagueaban
Y los vidrios de los coches
Volaban hechos pedazos
Eso paso allá en Los Mochis.

Se oían rechinar las llantas
Y los motores rugían
El nivel de adrenalina
Al cien por ciento subía
Mientras la muerte contaba
A los hombres que caían.

Soplaron vientos del norte
Con el olor al infierno
Se levantó una avioneta
Sin luces se fue perdiendo
En ella dos traficantes
De Cuernavaca Morelos.

La cessna dos cero seis
Parecía que traía al diablo
Era porque el turbo gas
Ya se les iba acabando
Y tuvieron que bajar
En la sierra de Durango.

En puras claves se hablaban
De abajo les contestaban
Eran unos traficantes
Que estaban en las montañas
Para atender emergencias
Miembros de la misma mafia.

La nota roja informó
De varios muertos y heridos
Pero jamás mencionó
De los que se habían perdido
Entre las nubes del cielo
Por la noche protegidos."
Los Invasores De Nuevo Leon,El Güero Palma,1990,True,,"Sinaloa, tierra hermosa,
de la noria, Mocoritos
Hay un hombre que se burla,
de la ley, y del destino,
de la muerte, no se diga,
a esa nunca le ha temido

Para hablar, del Guero Palma,
hay que quiitarse el sombrero
Las leyes, lo respaldaban,
dicen que, por su dinero
La muerte, no hagara plata,
y tambien, le tuvo miedo

A ""Palma"", le temen muchos,
no se la anda recargando
Aunque sean, reyes todos,
mejor vayanse alineando,
que al llegar, el as de oros,
los reyes, salen sobrando

Para mi, que fue un dedaso,
la captura, de Hector ""Palma""
La muerte, lo tuvo en brazos,
lo llevo a Guadalajara
Como estaba, mal herido,
permitio, que lo agararan

Temblando estan sus rivales,
los de afuera, los de adentro
Estos de sobra lo saben,
de lo que es capaz el ""Guero""
Y a la hora, de cobrarles,
le dan de pagar con el cuero

Hector era casi un niño,
cuando a Roogelio mataron,
y nomas, crecio tantito,
de imediato la pagaron
En Tijuana un tal, ""Comanche"",
no vivio, para contarlo"
Los Invasores De Nuevo Leon,El Aguila Real,1990,True,,"Procedente de Colombia, una avioneta llegaba,
Una pista clandestina, le hicieron, en las montañas
De las sierras de Jalisco, para que allá aterrizara

Un hombre bajo la cuesta, con una mula cargada
Ocultos bajo la leña, 70 kilos llevaba,
De la que no hace bulto, pero que vale muy cara

A ese paso llego, a un bar de Guadalajara
Dos hombres se le acercaron, sabía que ahí lo esperaban,
En un portafolio negro, el dinero le entregaban

Como eran muchos millones, una trampa le pusieron,
La mula cayo bien muerta, por suerte a el no le dieron
Llevaba una R-18, les contesto y se murieron

Al demostrar su valor, la mafia lo contrato,
Se lo llevaron a Texas, y de la DEA se burlo,
De una joven muy bonita, en Brownsville se enamoro

Se la trajo pa su tierra, al rumbo de Culiacán,
Quería casarse con ella, las cosas salieron mal
Resulta que la güerita, era agente federal

Quería agarrar palomita, le resulto águila real,
Hoy se haya tras de las rejas, y no hace más que pensar,
Por no matar a la güera, a la prisión fue a parar"
Los Tigres Del Norte,Tambien Las Mujeres Pueden,1990,True,,"HABLADO:
Tambien las mujeres pueden, eh!
Y esas no se andan con cuentos
Asi es k truchas carnales,
Watch out.

Tambien las mujeres pueden
Y ademas no andan con cosas,
Cuando se enojan son fieras
Esas caritas hermosas
Y con pistola en la mano
Se vuelven repeligrosas.

Con un motor muy rugiente
Llegaron quemando llantas
En una trocona negra
Pero la traian sin placas
2 muchachas k venian
Del barrio de tierra blanca.

En el restaurant durango
De la puente, california
3 muchachas esperaban
Procedentes de colombia
Ahi quedaron de verse
Con las 2 de sinaloa.

Todas vestian de vaquero
Y chamarra de vaqueta
Tambien cargaban pistola
Debajo de la chaqueta
Mucho dinero en la bolsa
Y muy buenas camionetas.

Se sentaròn todas juntas
En una mesa tomaban
Y se metian al baño
Y andaban reaceleradas
Yo las vi cuando salian
Con la carita polveada.

X lo k pude entenderles
Algo alegaban entre ellas
Creo k de billetes falsos
Tambien mentaban la hierba
Pero lo hablaban en clave
Para k nadi entendiera.

De pronto se oyen disparos
Unas mujeres caian
Las 3 eran colombianas
Lo dijo la policia
Y las 2 de sinaloa
A tierra blanca volvian.

Tambien las mujeres pueden
Aunque nos duela aceptarlo
Lo digo aqui y donde quiera
Xk pude comprobarlo
K como un hombre se mueren
Y eso no hay k dudarlo."
Los Tigres Del Norte,Por Debajo Del Agua,1990,True,,"La federal de caminos
policia tan preparada
agarro un cargamento
x el rumbo de ensenada
5, 700 kilos
casi las 6 toneladas.

eran 3 camiones grandes
y los 3 con doble fondo
traficantes eran 9
k llevaban aquel polvo
x poquito se escapan
pero revisaron todo.

el comandante reynoso
dijo a los uniformados
me ofrecieròn un dinero
k ni en sueños lo juntamos
han caido los del dea
del gobierno americano.

HABLADO: ja, ja, ja,...puro
cachanilla compa.

cuando dijo no me vendo
se escucho un cuerno de chivo
2 agentes murieròn
y reynoso mal herido
alcanzo a matar a 4
de los k serian cautivos.

yo no se xk callaròn
el asunto era importante
desde washinton mandaròn
dar luz verde a los maleantes
y en el hospital moria
afixiado el comandante.

muy x debajo del agua
este asunto ya he sacado
del archivo periodista
xk no lo denunciaròn
ya la carga esta a la venta
en el lado americano."
Los Tucanes De Tijuana,El Caqui,1990,True,,"Dos enemigos a muerte
En un lugar se encontraron
Carlos traía su pistola
Pedro estaba desarmado
Carlos le dijo: ""Te espero
Quiero que vengas armado""

Pedro salió como un rayo
Y regresó de volada
Pero cuando regresó
No quiso darle la cara
Llegó tirando balazos
Y lo asesinó a la mala

La mecha ya se prendió
No la podrán apagar
Tres armas de alto poder
Buscan a un criminal
Dicen que caiga quien caiga
A Carlos van a vengar

Carlos Ibarra, el Caqui
Así le decía su gente
Tenía poder en la mafia
Por ser muy inteligente
Es el mejor requisito
Para el narcotraficante

A los narcos de San Diego
El Caqui los comandaba
Era el dueño de la droga
Que al otro lado pasaba
La traía de Nayarit
De Culiacán y Tijuana

Tiene que ser a traición
Para matar a un valiente
Se necesita valor
Para matar frente a frente
Vayan cavando una tumba
Alguien tendrá un accidente"
Los Tucanes De Tijuana,Manuel Caro Carrillo,1990,True,,"Santiago los caballeros
Está bien reconocido
Como el rancho de valientes
Por los tantos que han nacido
Todos han de recordar
A Manuel Caro Carrillo

Lo invitaron a una cena
Para un asunto arreglar
Manuel con gusto aceptó
Lo acompañaban tres mas
Pero el no se imaginaba
Que lo querían matar.

La trampa estaba tendida
Ya no tenían salvacion
En Culiacan Sinaloa
Restaurant del malecon
Les cayeron varios hombres
Matándolos a traición.

Murió Manuel y su hermano
Rafael Caro Carrillo
También el blanco fonseca
Que era su mas fiel amigo
Roberto Fonseca Iribe
También quedó ahi abatido.

Manuel Caro Carrillo
Era hombre muy respetado
Y le tenían mucho miedo
Por eso lo traicionaron
Disparaba con la izquierda
La otra se la balacearon

Manuel jalaba la banda
Por todito Culiacan
Le gustaban los caballos
Pero las mujeres mas
No le importaba el dinero
Tenia para eso y pa mas

El destino está marcado
Y nadie puede cambiarlo
Gil se estrelló en un avion
Cesar murió con Gerardo
Rafa y Manuel a balazos
Cobardes van a pagarlo."
Los Tucanes De Tijuana,Armando Soto,1990,True,,"Alla en el rancho el realito
Muy cerquita del salado
Es nacido Armando Soto
Un amigo muy callado
Voy a contarles un poco
De lo que a el le a pasado!
Con un contrabando de armas,
Armando iba bien cargado
Pero en cavorca sonora
Todo le decomisaron
La ley recojio la carga
Pero a el no lo apresaron.
En la sierra de ensenada
Tenian pista clandestina
Donde hacian operaciones
De llerva y de cocaina
Un dia les callo el gobierno
Habian cantado gallinas.
Al mirarse descubierto
En la avioneta volaron
Los federales disparan
Y en el motor le pegaron
La avioneta cayo a tierra
Pero siempre se fugaron.
Y despues alla ya en tecate
En un reten Judicial
Le encontraron cocaina
Todavia sin maquillar.
Lo llevaron a tijuana
Privado de libertad!
Escuadra 45 siempre le gusta portar
Musica, vino y mujeres
Disfruta donde el esta
El gallo no tenia plumas
Le volvieron a brotar!
Armando le dice a carlos
Hay que seguirle de frente.
Y Contesta Carlos Soto
Eso esta claro pariente.
Trabajar Contra el gobierno
Es orgullo sinaloense."
"""El Piporro""",Mariano Resendez,2000,True,,"Vengan a llevar indianas, que las estoy regalando
Decía Mariano Resendez
El amo del contrabando
Según me lo contó Lázaro
El de la estación, ¡ajúa!

Año de 1900
Dejo un recuerdo muy grande
Murió Mariano Resendez
Lo mató Nieves Hernández

Le querían quiebrar la puerta
Cuando llegó el otro hermano
Al momento preguntaron
¿Dónde se halla Don Mariano?

Sabía, pero ¿qué les iba a decir?
¿Cuándo le iba a decir?

Don Jesús María Resendez
Su contestación fue buena
Señores, yo no sé nada
Yo vengo de Santa Elena

No les dije que no les digo
No les digo, no les digo

La gente de Don Mariano
Le corrieron a avisar
Ya agarraron a su hermano
Y a usted lo quieren matar

Me querrán matar de risa, raza
O a poco no tengo gente yo
O qué clase de gente tengo
Ánimo, gentes
Descontrolesen
Organisencen

No le tengan miedo a las balas
Nomás cuídense de los agujeros que hacen, raza

Decía Mariano Resendez
En su caballo tordillo
A la hora de los balazos
No hay caballo como el mío

Ajúa, tenía un caballo que era un pensamiento, un rayo veloz
Pasaba bien cargado por las aduanas
Y no lo notaban
De repente decía el cabo
""¿Quién anda ahí, quién anda ahí, quién anda ahí?""
""Nada, mi cabo"", decía el empleado
""Algún chiflón de aire
Cierre la puerta""

En su rancho que era El Charco
Día martes señalado
No pudo salvarse el hombre
Lo agarraron desarmado

Quién lo había de decir
Ni Mariano Resendez ya muerto lo hubiera creído
Pero no tiene vuelta de hoja
Ahí está el pozo
Y la cruz con su nombre

Ya con esta me despido
Desojando flor de mayo
Se fue Mariano Resendez
Solo quedó
Su caballo, ¡ajúa!"
"""El Piporro""",El Ojo De Vidrio,2000,True,,"Voy a cantar el corrido
Del salteador del camino
Que se llamaba Porfirio
Llamábanle ojo de vidrio
Lo tuerto no le importaba
Pues no fallaba en el tiro, ajua

Se disfrazaba de arriero
Para asaltar los poblados
Burlándose del gobierno
Mataba muchos soldados
Nomás blanqueaban los cerros
De puros encalzonados

Ahí viene el ojo de vidrio
Gritaba el pueblo asustado
Y a las mujeres buscaba
Mirando por todos lados
Dejaba pueblos enteros
Llenos de puros colgados

Después de tantas hazañas
Al verlo que se paseaba,
Con su caballo tordillo
Frente de la plaza de armas,
Lo acribillaron a tiros
Sin que le pasara nada

Decían que estaba forrado
Con un chaleco de malla
Las balas le rebotaban
Mientras él se carcajeaba
Se iba tranquilo a caballo
Sin que nadie le estorbara

Bajaron tres campesinos
De allá del cerro escondido
Traiban al ojo de vidrio
Picado de un corralillo
Venía ya muerto el bandido
Sobre el caballo tordillo, ajua"
Antonio Aguilar,Rosita Alvirez,2000,True,,"¡Ahí va el corrido de Rosita Alvírez!
La mataron por desairista

Año de 1900, presente lo tengo yo
Que en un barrio de Saltillo, Rosita Alvírez murió
Rosita Alvírez murió
Su mamá se lo decía: 'Rosa, esta noche no sales'
Mamá, no tengo la culpa que a mí me cuadren los bailes
Que a mí me gusten los bailes

Hipólito llegó al baile y a Rosa se dirigió
Como era la más bonita, Rosita lo desairó
Rosita lo desairó

¡Ay, ja, ja, pobre de Rosita!
Mira, Rosa, por desairista te van a matar, ay

Rosita, no me desaires, la gente lo va a notar
Pos que digan lo que quieran, contigo no he de bailar
Contigo no he de bailar
Echó mano a la cintura y una pistola sacó
Y a la pobre de Rosita nomás tres tiros le dio
Nomás tres tiros le dio

Rosita le dijo a Irene: 'No te olvides de mi nombre'
Cuando vayas a los bailes no desprecies a los hombres
No desprecies a los hombres
¡Ay, ja, ja, Rosa, por tu culpa estás muerta!
Hipólito, viejo matón
Ave María, pero qué tragedia, oiga

El día que la mataron, Rosita estaba de suerte
De tres tiros que le dieron, nomás uno era de muerte
Nomás uno era de muerte
La casa era colorada y estaba recién pintada
Con la sangre de Rosita le dieron otra pasada
Le dieron otra pasada

Rosita ya está en el cielo dándole cuenta al Creador
Hipólito está en la cárcel dando su declaración
Dando su declaración"
Chalino Sánchez,Raymundo Chaidez,2000,True,,"Voy a cantar un corrido
Para que lo lleve el aire
Allá en Chacala, Durango
Ha muerto Raymundo Chaidez
Se mató con Pedro León
Y los dos eran compadres

Festejaban año nuevo
Ochenta y tres al corriente
Allá en Chacala, Durango
Lo tengo muy bien presente
Por los hechos criminales
Quedó asombrada la gente

Los dos se estimaban mucho
Pero ese día inolvidable
Pedro le dio de balazos
A un primo de su compadre
Fue la causa de su muerte
El sábado por la tarde

Cuando Raymundo miró
Que ""Meño"" al suelo caía
Desenfundo la pistola
Que bien fajada traía
""¡Qué respetes mi familia!""
Compadre se lo decía

Pedro Y Raymundo eran hombres
Y compadres estimados
Pero ese día inolvidable
No respetaron el grado
Se tramaron a balazos
Quedando los dos tirados

Raymundo no era dejado
Todo el tiempo demostró
Después del duelo con Pedro
Chaidez con vida quedó
No quiero ofender a nadie
Pero alguien lo remato

¡Vuela, Vuela Palomita!
Por toditos los estados
Ha muerto Raymundo Chaidez
Que Dios lo haya perdonado
Una cruz en el panteón
Su nombre tiene grabado"
Chalino Sánchez,Amador Garcia,2000,True,,"voy a cantar un corrido, de un joven muy decidido
varios quieren verlo muerto, o que siga en el presidio
amador garcia landeros, por los valientes temido

le mataron a su padre, en una forma cobarde
amador siguio adelante, buscando a los criminales
para cobrarle la deuda, a esos falsos federales

los contrarios an querido, apartarlo de este mundo
pistoleros y bandidos, con amador no an podido
todo aquel que se le acerca, siempre los deja tendidos

tiene amistades muy buenas, porque sabe respetar
le toca mucho la banda, o este grupo musical
las mujeres lo procuran, porque es hombre especial

nunca carga pistoleros, porque no quiere testigos
solo una cuarenta y cinco, tambien un cuerno de chivo
rafago y lleno de balas, para tumbar enemigos

vuela, vuela palomita, con destino al espinal
cuentales a los garcia, que amador es muy cabal
que invespiras nadien muere, si no asta el dia final"
Chalino Sánchez,Los Hermanos Mata,2000,True,,"Estado de Michoacán
Ya casi iba a anochecer
Se oyeron cuatro balazos
Y la gente corrió a ver
Dos hombres estaban muertos
Y no se sabía por qué
Eran los hermanos Mata
Los que ya estaban tendidos
Se mataron entre sí
El motivo fue un novillo
Que Jorge le mató a Pedro
En su rancho el Potrerillo
Porque se metió a la milpa
Jorge mató al animal
Y Pedro le reclamó
""Hermano, eso está muy mal""
Jorge sacó su pistola
Y le empezó a disparar
Le disparó tres balazos
Y Pedro así le decía
""Hermano, ¿qué estás haciendo?
¿Por qué me quitas la vida?
¿No te importa ver llorar
A nuestra madre querida?""
Pedro era un hombre calmado
Pero también muy valiente
Él no quería dispararle
Pero ya sentía la muerte
También saco su pistola
Y le dio un tiro en la frente
Su madrecita lloraba
Sin consuelo en el panteón
Por sus hijos adorados
Eran toda su ilusión
Unos dos días después
Diosito se la llevó"
Chalino Sánchez,Hermanos Mata,2000,True,,"Estado de Michoacán
Ya casi iba a anochecer
Se oyeron cuatro balazos
Y la gente corrió a ver
Dos hombres estaban muertos
Y no se sabía por qué

Eran los hermanos Mata
Los que ya estaban tendidos
Se mataron entre sí
El motivo fue un novillo
Que Jorge le mato a Pedro
En su rancho el Potrerillo

Porque se metió a la milpa
Jorge mató al animal
Y Pedro le reclamo
""Hermano, eso está muy mal""
Jorge sacó su pistola
Y le empezó a disparar

Le disparo tres balazos
Y Pedro así le decía
""Hermano, ¿qué estás haciendo?
¿Por qué me quitas la vida?
¿No te importa ver llorar
A nuestra madre querida?""

Pedro era un hombre calmado
Pero también muy valiente
Él no quería dispararle
Pero ya sentía la muerte
También saco su pistola
Y le dio un tiro en la frente

Su madrecita lloraba
Sin consuelo en el panteón
Por sus hijos adorados
Eran toda su ilusión
Unos dos días después
Diosito se la llevo"
Los Huracanes Del Norte,Sangre De Gallo,2000,True,,"Naci con sangre de gallo me ollen cantar
Donde quiera, mi orgullo es ser michoacano
Nacido y criado en la sierra
Esos de sangre alterada que si los cucan pelean.

Mi destino es ser mañoso
Desde que estaba morrillo,
Me gusta tirar balazos
Al escuchar un corrido
Ya mucha gente me ha visto
Jalar mi cuerno de chivo.

Por mi caracter sereno se me nota
Lo valiente es herencia de mi padre
No haber nacido corriente,
Naci con sangre de gallo
Y no le saco a la muerte.

Me siento muy orgulloso haber nacido ranchero,
Por eso me identifico cuando me pongo el sombrero
Y me gusta usar guarache de esos que usan en gerrero.

Mi cuerno es mi compañero es parte de mi negocio
Por que me gusta andar solo sin pistoleros ni socios
Y no hago trato con compas de esos que son mentirosos.

Por mi caracter sereno se me nota
Lo valiente es herencia de mi padre
No haber nacido corriente,
Naci con sangre de gallo
Y no le saco a la muerte."
Los Tigres Del Norte,Morir Matando,2000,True,,"Morir matando es la ley
Así comienza el corrido
Así lo dijo Miguel
Cuando iba a ser detenido
Prefiero morir matando
Antes que me hagas cautivo

El teniente le decía
Porque no entregas las armas
De la procuraduría
Traigo una orden firmada
Te vamos a detener
Pero es seguro que salgas

Porque me quemo mi siembra
Si protección prometieron
Si yo iba a ser detenido
Porque recibió el dinero
Yo soy un hombre de ley
No crea que me chupo el dedo

Se repegó a su camión
Adentro tenía las armas
Eran dos cuernos de chivo
Del 12, una recortada
Al teniente lo mató
Con una pistola escuadra

Le pegaron dos balazos
TR 18 en la pierna
Era muy bueno pa'l cuerno
Con la derecha y la izquierda
A otros cinco mató
Nomás por aquella quema

No se sabe si Miguel
Murió o sigue en la sierra
Nomás hallaron la sangre
Que fue regando en la hierba
Pero cruzó por un río
Y le perdieron la huella"
Los Tigres Del Norte,El Que No Había Nacido,2000,True,,"A veces ni lo presumen
Los hombres que son valientes
Les traigo el nuevo corrido
De la tierra sinaloense
Dos hombres por valientes
Se destrozaron a tiros.

Los dos amaron a laura
Por que era mujer bonita
Por que desde que la vieron
Los cautivo su sonrisa y
Compartian sin saberlo
El fuego de sus caricias.

Un baile se celebraba
Beneficiando una iglesia
Estaba laura con juan
Llenando lo de promesas
Nos casaremos prontito
En marzo del año que entra.

Montando un caballo negro
Llego jacinto cabrera le
Dijo laura de mi alma no te
Crei traicionera cuando en
Mis brazos dormiste juraste
Amarme deberas.

Don juan se sintio ofendido
Y le decia en el momento para
Ofencer a la dama me encargo
Desde hace tiempo me explicaras
El motivo por que sino te reviento.

No tiene caso decirle que la mujer
No es honrada lo busca para
Casarse y la traigo embarazada
Y disparo tres balazos que atravesaron
A laura.

Si me mataste a mi novia te vas a
Morir conmigo, aquellos hombres
Valientes se destrozaron a tiros
Y ahí murieron los tres y hasta el
Que no habia nacido."
Los Tigres Del Norte,El Gato Felix,2000,True,,"Voy a cantar un corrido
De alguien que yo conocí
Periodista distinguido,
Por su pluma era temido
Desde Tijuana a Madrid

Le decían el Gato Félix,
Porque se le oia decir
Que era como los felinos
Que tenía siete destinos
Y los tenía que cumplir

Llegó de Choix, Sinaloa
Que era su tierra natal
Pero se quedó en Tijuana
Porque le pegó la gana
Y en algo quiso ayudar

Con lo que escribía en el diario
Al gobierno hizo temblar
Se acabó el abecediario
De amenazas un rosario
La ZETA hizo popular

Con una pluma valiente
Señaló la corrupción
Ayudó siempre a la gente
Y más de dos presidentes
Le prestaron atención

De una forma traicionera
Le llegó al Gato el final
De una vez y de a deveras
En caballo de carreras
La muerte corrió a ganar

Ya se murió el Gato Félix
Ya lo llevan a enterrar
Será uno más en la lista
De valientes periodistas
Que así han querido callar

A Héctor Félix Miranda
Te dedico mi cantar
Pero no tengas pendiente
Ya anda por hay el valiente
Que ocupará tu lugar"
Los Tucanes De Tijuana,El Metro,2000,True,,"Por las buenas es un santo
por las malas es el diablo
no quiero decir su nombre
porque es gente de alto rango
pero ustedes lo conosen
saben muy bien de quien hablo

conosido como el metro
respetado como siempre
un comando lo acompaña
puros yankis trae el frente
con basucas y metrallas
alas ordenes de LEPE

de chico no tuvo nada
hoy de grande tiene todo
le da gracias a sus compas
q no lo dejaron solo
hoy el metro es gente grande
por sus criadillas de toros
su pacion son las artistas
y su plaza matamoros

los erores los perdona
pero nunca las traiciones
con el metro no se juega
tengan cuidado soplones
le fasina echar balazos
y mas cuando aya razones

cuando el era de gobierno
atoraba poderosos
se los hacia sus amigos
hasta que le entro al negicio
esa profecion buscaba
dice q nacio mafioso

de colombia a tamaulipas
por el golfo via corta
llegan varias toneladas
y un comando las exporta
hasta la frontera chica
con el metro se reporta
grita que viva la mafia
y las mujeres hermosas

aqui estamos al 100 compa"
Los Tucanes De Tijuana,Mas Vale Cholo,2000,True,,"""Más vale cholo que mal acompañado""
Dice un amigo pesado de Tijuana
Y no le busquen, porque ese no perdona
Es hombre bravo, que le sobran agallas

Cuernos de chivo vigilan su camino
Es poderoso, trae mucha gente armada
La policía lo mira y lo saluda
Y aunque lo buscan, no pueden hacer nada

De que las puede, ya está bien comprobado
No cabe duda, es un hombre decidido
Cuida la plaza, por órdenes de arriba
Es brazo fuerte y pariente de ""El Tigrillo""

""Más vale cholo que mal acompañado""
Escuchen todos muy bien lo que les digo
No quiero fallas, ustedes ya lo saben
Que soy acople de mi cuerno de chivo
También ahí traigo mi fiel MP5
Varias granadas, para mis enemigos

¡Uah!
¡Ahí le va, compa!
¡Y arriba Tijuana!
¡No se me raje, primo!

Por mi negocio, sé que corro peligro
Pero me gustan las emociones fuertes
Gano dinero, disfruto de la vida
Soy respetado y amigo de los jefes

San Judas siempre me cuida y me protege
Por eso es que yo le tengo sus altares
Es milagroso, me ayuda en mis negocios
Y mientras viva siempre voy a rezarle

No soy tan malo como lo creen ustedes
¿Verdad compadre que soy muy buen amigo?
Nací valiente, es cierto, no lo niego
Y si lo dudan, ya saben donde vivo

Sé que me buscan, pero eso no me asusta
Miedo no tengo, se los he demostrado
Pero si quieren volver a comprobarlo
Aquí les tengo costales reservados

Soy de la mafia, ¿qué quieren que les diga?
Que soy el cholo, y que me la Pérez Prado

Aquí estamos al 100, compa"
Valentin Elizalde,Cirilo Flores Quezada,2000,True,,"Para cantarle a un amigo, voy a quitarme el sombrero
Pa' recordar a mi compa muy alegre y muy sincero
Cirilo Flores Quezada, que Dios lo tenga en el cielo

Fue nacido allá en Chihuahua, pero en Guamúchil fue criado
Estado de Sinaloa, se han muerto ya muchos gallos
De allá les traigo el corrido de este piloto afamado

El 29 de octubre del año 97
Por el boulevard Rosales a Cirilo dieron muerte
Como a las 6 de la tarde, él muere siendo inocente

Era piloto aviador de los buenos, se sabía
Pues en los 200 metros su avioneta la subía
Para perderse en las nubes con su carga llegaría

Lo miraban por la sierra de ese pueblo Surutato
Se paseaba por sus calles, caminos y rancherías
A Cirilo dieron muerte por algo que no debía

Adiós hermanos y amigos, adiós a mi chaparrita
Lo único que yo les pido, me cuiden bien a mi hijita
Despídanme con la banda con mil canciones bonitas"
Valentin Elizalde,Corrido De Juan Martha,2000,True,,"jefe de nuevo laredo
tan pronto se le olvido
que anduvimos de pateros
hace un tiempo usted y yo
ganandonos el dinero
traicionando a la nacion
Hoy porque traes uniforme
y traes la ley en sus manos
se olvida que yo fui el hombre
que una vez te dio la mano
cuando la lancha que andava
se volteo y se andava ahogando
No me recuerdes pasados
ya tengo mucho dinero
ni me gusta el contrabando
hoy ya tengo muy buen puesto
te iba a llevar prisionero
pero te prefiero muerto.

Sabes que estoy desarmado
de eso no tengas pendiente
con morirme habia soñado
en las manos de un valiente
y que ganara otro grado

que luciera entre su gente.

A su pistola echo mano
matandolo a sangre fria
cayo bien muerto JUAN RAMOS
y en su rostro se veia

como que se estaba riendo
de lo que el nunca creia.

Luego que ya lo mato
se quedo muy pensativo
y se apunto al corazón
tambien pegandose un tiro
para que quiero la vida
si he matado a un gran amigo"
Alemán,Rucón,2010,True,,"Hey, hey, hey
(He-he-hey, hey, hey, hey)
(Come on now, come on now)

Traigo a la clika bien prendida en la Toyota
Todos andamos pelones y siempre fumando mota
Ahora pues, ándale, no te me pases de idiota
Ahora pues, ándale, llámale a tu flota, yo'

Tengo unos carnales que te tumban el cantón
Yo no fui, no sé quién ande, qué rapapón
Un chingo como tú que se tira' de felón
Esto es cien por ciento México, nomás wacha el rucón

Con cadena diamantada que hace juego con su esclava
Siempre carga la alabada al millón el rucón
Su gente ahí estaba, todos lanzan la tejana
Fumando la marihuana, pura kush en su joint

No quedan ni bachas, de oro repleta la cacha
Con las más bellas muchachas, al ruco siempre lo wachan
Y saca las caguamas y jala a la banda
Con juegos no se anda, ya saben aquí quién manda, porque

Traemos a la clika bien prendida en la Toyota
Todos andamos pelones y siempre fumando mota
Ahora pues, ándale, no te me pases de idiota
Ahora pues, ándale, llámale a tu flota, yo'

Tengo unos carnales que te tumban el cantón
Yo no fui, no sé quién ande, qué rapapón
Un chingo como tú que se tira' de felón
Esto es cien por ciento México, nomás wacha el rucón

La fiesta no se acaba, se escuchan armas cortadas
Y algunas son detonadas a la voz del rucón
La banda no para, bolsitas de las más caras
Bien entumida la cara, nunca llega el malillón

El ruco es de familia y mafia como en Sicilia
Versace siempre cepilla, los haters llenos de envidia
No creen en eso de la Biblia con botas y cocaína
Hey, hey

Me gusta andar por la sierra, crecí entre los matorrales
Y aprendí a sacar las cuentas nomás con tantos costales
Me gusta burlar las redes que tienen los federales

No queda ni bachas, de oro repleta la cancha
Con las más bellas muchachas, al ruco siempre lo wachan
Y saca las caguamas y jala a la banda con juegos
No se anda, ya saben aquí quién manda, porque

Traemos a la clika bien prendida en la Toyota
Todos andamos pelones y siempre fumando mota
Ahora pues, ándale, no te me pases de idiota
Ahora pues, ándale, llámale a tu flota

Tengo unos carnales que te tumban el cantón
Yo no fui, no sé quién ande, qué rapapón
Un chingo como tú que se tira' de felón
Esto es cien por ciento México, nomás wacha el rucón"
