artist,song,year,lustro,es_narco_fuerte,subgenero_ia,etiqueta_humana,lyrics
Antonio Aguilar,Valentín De La Sierra,2003,2000,1,12,1.0,"Voy a cantar un corrido de un amigo de mi tierra
Llamábase Valentín que fue fusilado, colgado en la sierra
No me quisiera acordar, era una tarde invierno
Cuando por su mala suerte, calló Valentín en manos del gobierno

El capitán le pregunta: ""¿cuál es la gente que mandas?""
Son ochocientos soldados que tienen sitiada la hacienda de Holanda

El coronel le decía: ""¿cuál es la gente que guías?""
Son ochocientos soldados que trae por la sierra, Mariano Mejía
El general le decía: ""yo te concedo el indulto""
""Pero me vas a decir cuál es el jurado, la causa que juzgo""

Valentín, como era hombre, de nada le dio razón
Yo soy de los meros hombres, de los que inventaron la revolución
Ay, ay-ay-ay, vivan los hombres, já

Antes de llegar al cerro, Valentín quiso llorar
Madre mía de Guadalupe, por tu religión, me van a matar
Vuela, vuela, palomita, párate en ese fortín
Estas son las mañanitas de un hombre valiente que fue Valentín"
Chalino Sánchez,Mariano Felix,2002,2000,1,12,1.0,"
Voy a cantarles señores
Una historia verdadera
De un hombre que fue mi amigo
Murió cerca a la frontera

En la ciudad de San Diego
Es muy triste recordar
El motivo de su muerte
No se a podido aclarar

Mariano Félix Perraza
De Sinaloa nacido
Mucha gente te recuerda
Por valiente y decidido
Fuiste preso de agua ruto
Por culpa de un homicidio

Al que le ponía la mano
Parado no lo dejaba
En el rancho de las flechas
Dejaste una cruz clavada

De Los Ángeles voló
Un avión particular
Con sus hermanos del alma
A mariano a sepultar

Por la Baja, California
Dejaste grande recuerdos
Por Sinaloa y California
Siempre te recordaremos

Vuela vuela palomita
Antes de que se haga tarde
Di que Mariano murió
En una forma cobarde
Adiós todos mis amigos
Mis hermanos y mis padres
"
Grupo Exterminador,Las Panteras,2003,2000,1,0,1.0,porq se visten de negro les apodan las panteras y les queda el nombresito en verdad son unas fieras no le temen al gobierno y se matan con cualquiera las panters tienen garras y muy filosos colmillos y como estas son humanas traen puro cuerno de chibo los las han enfrentado ninguno ha quedado vivo dicen q una es sinaluence de durango y michuakan tierra de contrabandistas ya se lo imaginaran tres panteras eyerbadas q bonito rujiraaan con un viper en la bolsa celular y unas troconas con pistola en la situra pues se ben retematonas cargan puras ran del ano y se miran muy perronas cuando les ponen retenes por toas las carreteras porq son muy peligrosas poreso la ley copera porq se mochan bonito con lo jefes las panteras son las reinas de la droga yerba goma y heroina tienen muy buenos contactos con la mafia de lachina mientras haiga compradores el trafiq no ternina
Grupo Exterminador,Las Monjitas,2003,2000,1,5,1.0,"Una troca salió de Durango
A las dos o tres de la mañana
Ah-ah, ja, ja, ja, ja, ja-ah
¡Viva México!

Una troca salió de Durango
A las dos o tres de la mañana
Dos muchachas muy chulas llevaban
Coca pura y también marihuana
Pero se disfrazaron de monjas
Pa poderlas llevar a Tijuana

Los retenes de la carretera
A las monjas no las revisaban
Tal vez era respeto al convento
Pero nunca se lo imaginaban
Que eran dos grandes contrabandistas
Que en sus barbas la droga pasaban

El agente que estaba de turno
En aquella inspección de Nogales
Por lo visto no era muy creyente
Y enseguida empezó a preguntarles
Qué de donde venían y qué traiban
Dijo el jefe de los federales

Muy serenas contestan las monjas
""Vamos rumbo de un orfanatorio
Y las cajas que ve usted en la troca
Son tesitos y lche de polvo
Destinados pa los huerfanitos
Y si usted no lo cree, pues ni modo""

Dijo el jefe de los federales
""Voy a hacer el chequeo de rutina
Yo les pido disculpa, hermanitas
Pero quiero sacarme la espina
Yo presiento que la leche en polvo
Ya se les convirtió en cocaína""

Con un gesto de burla el agente
Se arrimó y les dijo a las monjitas
""Yo lo siento por los huerfanitos
Ya no van a tomar su lechita
Ahora díganme cómo se llaman
Si no es mucha molestia, hermanitas""

Una dijo me llamo sor Juana
La otra dijo me llamo, ¡sorpresa!
Y se alzaron el hábito a un tiempo
Y sacaron unas metralletas
Y mataron a los federales
Y se fueron en su camioneta

En Durango se buscan dos monjas
Que ya no han regresado al convento
Y una cosa sí les aseguro
Que llegaron con el cargamento
Por ahí dicen que están muy pesadas
Y que viven allá en Sacramento

De Durango salieron dos monjas
A las dos o tres de la mañana"
Grupo Exterminador,El Cartel De La Calle,2003,2000,1,0,1.0,"Soy el cartel de las calles
Y no me asusto de nada
Para hacer pacas de billetes
Yo no ocupo toneladas
Con un poco de perico
Ya traigo la bolsa hinchada

Yo me la paso en el carro
Recorriendo la ciudad
Con un beeper en la bolsa
Y también mi celular
No mas digan cuanta quieren
Y al instante la tendrán

Traigo una súper fajada
Más vale que me lo crean
No presumo de muy bravo
Yo le atoro a lo que sea
Por que si aquí no traes arma
Cualquier zorrillo te mea

Tengo muchas amistades
Que no me hacen quedar mal
Tengo las puertas abiertas
Porque yo no soy ojal
Del cielo le caen las hojas
Al que nace pà tamal

Cuando estaba prisionero
Ya de mi no se acordaban
Pero vieron que era gallo
Y que mi bolsa lloraba
Ahora me dicen pariente
Le tengo una carne asada

Soy el cartel de las calles
Y vénganse a cotorrear
Que perico es lo que sobra
Si no vamos a traer más
Que al cabo estas son las cosas
Que se hicieron pà gozar."
Los Tigres Del Norte,La Paloma,2003,2000,1,5,1.0,"Aquí cayó la paloma
En la laguna de Nuzco
Porque no pudo bajar
En la pista de Acapulco
Un gavilán federal
Le venía siguiendo el rumbo

Tres toneladas y media
En su interior las llevaba
El plan de vuelo traía
A la unión americana
Pero cayó por Guerrero
Se le cansaron las alas

El gavilán federal
Por radio les avisaba
Que la mentaba paloma
Traía una cola pegada
Pues la siguió desde Chiapas
Ni modo que se escapara

La policía federal
La de caminos y puertos
Todo mundo interesado
Atrapar el cargamento
Unos se llevaron droga
Y otros muy buen ascenso

Por eso es que los carteles
No es una sola familia
Unos con otros se tiran
El dinero causa envidias
Luchan por los territorios
Y se pierden muchas vidas

Por eso es que las traiciones
Por la mafia son cobradas
No piensen que esto es un cuento
Si la gente está enterada
De lo que pasó en Vallarta
Y en las montañas de Iguala"
Los Tigres Del Norte,Contrabando Y Traicion,2003,2000,1,12,1.0,"Salieron de San Isidro
Procedentes de Tijuana
Traían las llantas del carro
Repletas
De hierba mala

Eran Emilio Varela
Y Camelia
La texana

Pasaron por San Clemente
Los paro la emigración
Les pidió sus documentos
Les dijo
""¿De dónde son?""

Ella era de San Antonio
Una hembra
De corazón

Una hembra si quiere un hombre
Por él puede dar la vida
Pero hay que tener cuidado
Si esa hembra
Se siente herida

La traición y el contrabando
Son cosas
Incompartidas

A Los Ángeles llegaron
A Hollywood se pasaron
En un callejón oscuro
Las cuatro
Llantas cambiaron

Ahí entregaron la hierba
Y ahí también
Les pagaron

Emilio dice a Camelia
""Hoy te das por despedida
Con la parte que te toca
Tú puedes
Rehacer tu vida

Yo me voy pa San Francisco
Con la dueña
De mi vida""

Sonaron siete balazos
Camelia a Emilio mataba
La policía solo hallo
Una pistola tirada

Del dinero y de Camelia
Nunca más
Se supo nada"
Los Tigres Del Norte,Arnulfo Gonzalez,2003,2000,1,12,1.0,"De Allende se devolvió, con 21 años cabales,
Gratos recuerdos dejo, al pueblo y a los rurales,

Estaba Arnulfo sentado, en eso pasa un rural
Le dice oye que me ves, la vista es muy natural

El rural muy enojado, en la cara le pego
Con su pistola en la mano, con la muerte lo amago

Arnulfo se levanto, llamándole la atención
Le dijo oiga no se vaya, falta mi contestación

Se agarraron a balazos, se agarraron frente a frente
Arnulfo, con su pistola, tres tiros le dio al teniente

El teniente mal herido, casi para agonizar,
Le dijo oiga no se vaya, acábeme de matar

Arnulfo se devolvió, a darle un tiro en la frente,
Pero en la vuelta que dio, ahí le pego el teniente

El teniente era muy hombre, las pruebas las había dado
Pero se encontró un gallito, ese no estaba jugado

Ya con esta me despido, pacíficos y rurales,
Aquí termina el corrido, del teniente y de González"
Antonio Aguilar,Que Me Entierren Con La Banda,2007,2005,1,6,1.0,"El día que yo me muera
Que me entierren con la banda
Que no me anden con lupitos
Que es purita propaganda

Mi vida es ser muy alegre
Siempre andando de caramba
Por eso quiero morirme
Paseándome con la banda

Al tranco de un buen caballo
Y al son de la balacera
Con diez cajas de cerveza
Y la joven que yo quiera

La vida se va mi'jo
Hay que gozarla, ajua

Me gusta rifar mi suerte
Y jugarme hasta la vida
Pa' curame las heridas
Con mi negra consentida

La noche siempre es bonita
Para empezar la parranda
Y amanecer por las calles
Paseándose con la banda

Al tranco de un buen caballo
Y al son de la balacera
Con diez cajas de cerveza
Y la joven que uno quiera

Ay amigo, la vida se va, hay que gozarla
¿Y qué mejor que a caballo con una mujer hermosa y la con la banda detrás?

Me gusta jalar la banda
Por todita la region
Me alegra tratar amigos
Que les sobre corazón

El muerto a la sepultura
Y el vivo a la travesura
La mujer que va creciendo
Que deje de ser criatura

Ya con está me despido
Amigos de la parranda
Y solamente les pido
Que me entierren con la banda"
Antonio Aguilar,El Hijo Desobediente,2007,2005,1,6,1.0,"Un domingo estando herrando
Se encontraron dos mancebos
Metiendo mano a sus fierros
Como queriendo pelear

Cuando se estaban peleando
Pues, llegó su padre de uno
Hijo de mi corazón
Ya no pelees con ninguno

Quítese de aquí, mi padre
Que estoy más bravo que un león
No vaya a sacar mi espada
Le traspase el corazón

Hijo de mi corazón
Por lo que acabas de hablar
Antes de que raye el sol
La vida te han de quitar

Lo que le encargo a mi padre
Que no me entierren sagrado
Que me entiere en tierra bruta
Donde me trille el ganado

Con una mano de fuera
Y un papel sobre dorado
Con un letrero que diga
""Felipe fue desgraciado""

El caballo colorado
Hace un año que nació
Ahí se lo dejo a mi padre
Por la crianza que me dio

De tres caballos que tengo
Ahí se los dejo a los pobres
Para siquiera digan
""Felipe Dios, te perdone""

Ay, ah-ah-ay, mamá
Adiós, adiós, adiós

Bajaron al toro prieto
Que nunca lo habían bajado
Pero, ahora sí, ya bajó
Revuelto con el ganado

Ya con esta me despido
Con la estrella del oriente
Esto le puede pasar
Al hijo desobediente"
Los Cuates De Sinaloa,Del Cielo Cayó una Rosa,2009,2005,1,0,1.0,"La ciudad se llama Duke
Nuevo Mexico el estado
Entre la gente mafiosa
su fama se a propagado
Causa de una nueva droga
que los gringos han creado

Dicen que es color azul
y que es pura calidad
Esa droga poderosa
que circula en la ciudad
Y los dueños de la plaza
no la pudieron parar

Tiene la plaza de Duke
El Tuco es face-a
Al Tuco le dieron pizo
Manejando su escalen
Un poco antes los gabachos
Quebraron al face-a

Anda caliente el cartel,
al respeto le faltaron
Hablan de un tal Heisenberg,
ke ahora controla el mercado
Nadie sabe nada de el,
por que nunca lo han mirado
El cartel es de respeto
y jamas a pardonado
Ese compa ya esta muerto
Nomas no le han avisado

(y asi suenan los cuates de sinaloa mi compa)

La fama de Heisenberg
Ya llego hasta michoacan
Desde alla quieren venir
A probar ese cristal
Ese material azul
Ya se hizo internacional

Ahora si le quedo bien
a Nuevo mexico el nombre
A mexico se parece
En tanta droga que esconde
Solo que hay un capo gringo
Por Heisenberg lo conocen

Anda caliente el cartel,
al respeto le faltaron
Hablan de un tal Heisenberg,
que ahora controla el Mercado
Nadie sabe nada de el,
por que nunca lo han mirado
A la furia del cartel
nadie jamas a escapado.
Ese compa ya esta muerto
Nomas no le han avisado"
C-Kan,Esta Vida Me Encanta,2012,2010,1,0,1.0,"Todo mundo piensa que,
llegar acá es fácil,
verdad Zimple,
simón carnal,
verdad Aero,
es que no saben pues,
yo recuerdo que,
de chamaquito primero,
fui pandillero,
luego rapero,
después vino el dinero,
y para ser sincero,
vengo de ceros,
nací en el ghetto,
nada espero,
pero.

Esta vida me encanta,
el chamaquito hoy vive de lo que canta,
andando en la calle la guerra no le espanta,
bajas y altas,
tengo lo que quiero y lucho por lo que me falta,
esta vida me encanta, me gusta,
la gente me juzga,
dicen que allá afuera los enemigos me buscan,
pero no se luzcan,
que nada se buscan,
yo vivo real sus amenazas no asustan.

Entopi pone play en mi carrera,
hoy tengo dinero mañana quizá me muera,
si brindo en el Estudio de grabación,
es por cada pendejo que se fue por la traición,
blo dela de la yesca,
el tequila, la fiesta,
el Rap malandro, las viejas y las apuestas,
muñeca fina gusta ponerme romántico,
mágico,
me complace y me pone simpático,
si me conoces ya sabes de que se trata,
saca,
que a Zimple ya no se le hace placa,
me gusta andar prendido entre puro pirata,
y ver como la competencia solita se desbarata.

Esta vida me encanta,
el chamaquito hoy vive de lo que canta,
andando en la calle la guerra no le espanta,
bajas y altas,
tengo lo que quiero y lucho por lo que me falta,
esta vida me encanta, me gusta,
la gente me juzga,
dicen que allá afuera los enemigos me buscan,
pero no se luzcan,
que nada se buscan,
yo vivo real sus amenazas no asustan.

Súbanle a la base y un pase vámonos recio,
la vida con mis home boys familia mi flow espeso,
ya no me expreso,
su hater se pone necio,
hacer Rap para ustedes deveras no tiene precio,
y es que no hablo de calle por esta rola,
la calle habla de mi cuando mi música controla,
no viene sola,
no ocupo sacar charola,
cada hater me conoce cuando trueno las consolas,
si es sencillo con el poder de mi garganta,
no aguanta,
ponerse al tiro porque en breve se atraganta,
Guanas y Tijuas estilo nunca no falta,
por esto y mucho mas es que esta vida me encanta.

Esta vida me encanta,
el chamaquito hoy vive de lo que canta,
andando en la calle la guerra no le espanta,
bajas y altas,
tengo lo que quiero y lucho por lo que me falta,
esta vida me encanta, me gusta,
la gente me juzga,
dicen que allá afuera los enemigos me buscan,
pero no se luzcan,
que nada se buscan,
yo vivo real sus amenazas no asustan.

De morro me preguntaron de grande que quería ser,
hoy con los huevos en la mano si un día volviera a nacer,
no dudaría,
rapero contestaría,
ni presidente ni juez mucho menos policía,
ya con Zimple he compartido riñas, foros y grilletes,
con spyder, perras, partys, plomos y billetes,
he moví la Lisa,
el ligue lo de la visa,
marca pa la base avisa,
que el Kan aterriza,
que ando en verguiza,
con el ojo rojo y risa,
en bisnes con el Hyde el del gran y en la repisa,
revisa,
la agenda rostizo todo el día,
yo de que chingados te voy a tener envidia.

Esta vida me encanta,
el chamaquito hoy vive de lo que canta,
andando en la calle la guerra no le espanta,
bajas y altas,
tengo lo que quiero y lucho por lo que me falta,
esta vida me encanta, me gusta,
la gente me juzga,
dicen que allá afuera los enemigos me buscan,
pero no se luzcan,
que nada se buscan,
yo vivo real sus amenazas no asustan.

Óyeme,
los números no hablan por si solos,
es mas,
ni hablan,
pero sirven para contar,
date cuenta,
los hechos lo demuestran todo como es,
ni los mas gavilanes saliendo del cascarón hacen daño,
hay cosas como la experiencia y el respeto que solo te la dan los años,
el ego está bajo el guarache que sigue bien puesto en el piso,
cada quien lo que merece Dios así lo quiso,
también dicen que,
Dios los hace,
la calle los cría,
solo se encuentra,
ubícate,
los Mobstas y el Satélite,
la humildad primero,
Don Aero,
antes persona que rapero,
así de simple,
siempre vienen,
mienten y se van,
yo aquí sigo, C-Kan."
Calibre 50,Plebada Alterada,2012,2010,1,0,1.0,"La plebada anda pisteando
Johnnie Walker y Buchanan's
Anda en los carros del año
Anda siempre en caravanas
Disfrutando de lo bueno
Porque la vida se acaba

Con mujeres muy hermosas
Se pasean por donde quiera
La vida hay que disfrutarse
Que al cabo mundo ahí te quedas
Hay que seguir la parranda
Mientras Dios nos la conceda

Cuerno y calibre 50
Con la pechera ajustada
Sacando cuentas ya llevo
Medio kilo de lavada
La plebada anda alterada
Trae bazucas y granadas

Que me toquen mis corridos
Y que traigan más cerveza
Borracho yo siempre he sido
Me gusta la vida recia
Lo que quieran les consigo
Ya me picaron la cresta

Si nos molesta la ley
Que vengan pa' acá conmigo
Aquí me arreglo con ellos
Fíjense lo que les digo
Para la ley son el rey
Y para ustedes su amigo

Cuerno y calibre 50
Con la pechera ajustada
Sacando cuentas ya llevo
Medio kilo de lavada
Con bazucas y granadas
La plebada anda alterada"
Chalino Sánchez,Ignacio Parra,2012,2010,1,6,1.0,"
Venía saliendo la luna
mi querida me esperaba
Me habían cueteado los verdes
en el real de Santa Clara
Pero traía un buen caballo
me le pelé a la cordada

Ahí pasé aquella noche
con la mujer que yo amaba
A las seis de la mañana
mi caballo relinchaba
Había venteado el peligro
la casa estaba sitiada

Yo le puse la montura
le subí un tiro a mi escuadra
Mi querida abrió la puerta
esperó que le ordenara
Con una nube de polvo
mi caballo me salvaba

Les descargué la pistola
eso lo hice de pasada
Y les tumbé tres rurales
y al jefe de la cordada
Me les perdí entre los cerros
subí a la ermita sagrada

Por la sierra de Durango
el gobierno me buscaba
Pero cambiaron de rumbo
pensando en una emboscada
Sabían que ahí andaba cerca
la gente de Ignacio Parra

Habíamos robado el pago
oro y un precipitado
En mulas lo trasladamos
a la ciudad de Camargo
Ahí mismo lo entregamos
a un gringo del otro lado

Adiós real de Santa Clara
Mapimilero y Durango
Donde se oían retumbar
los cascos de mi caballo
Adiós mi rancho bonito
Pánuco de Coronado
"
Chalino Sánchez,Prajedes Felix,2012,2010,1,0,1.0,"Por el filo de la sierra
Bonitos se ven los pinos
Con su silbido le cantan
El corrido a un gallo fino
Quiere escucharlo con vida...
Tomando un trago de vino

Nacido a ya en Chapotán
Después vivió en Aguablanca
Entre pura gente brava
Entre escuadras y la banda
Praxedes Felix se llama no cuales quiera lo ablanda

El día 21 de julio del año 49
Sus padres llenos de gozo
Porque naciera Praxedes
Nació en cuna muy humilde...
De adobe eran las paredes...

Anduvo de pistolero porque
Quería progresar... bajo el fuego de metralla
Siempre se pudo salvar anduvo en muchas
Hazañas que nunca podrá olvidar...

Ahora vive en California
Trabajando con honor
Se retiró de todo eso, pero le sobra valor
Trae una super segunda... con cachas de oro el señor

Enamorado lo ha sido se llevó varias mujeres
Siempre anda muy bien tratado
Mi buen amigo Praxedes, cuidense muy bien pollitas...
De caer entre sus redes...
Con cariño me despido, cantándole a un gran amigo
Por las buenas muy sincero, como un diablo de enemigo
Ay unas cruces clavadas...
Que me sirven de testigo..."
Chalino Sánchez,Armando Aguirre,2012,2010,1,0,1.0,"Tengo un contrato firmado
desde que vine a este mundo
no le pusimos la fecha
por eso es que vivo a gusto
el mundo da muchas vueltas
y yo de nada me asusto

Con la muerte por un lado
todo el tiempo me paseo
no me gusta presumir
pero no me miren feo
ay traigo un cuerno de chivo
no lo tengo de trofeo

Armando Aguirre se llama
aduanal de profesión
en la sultana del norte
de Monterrey Nuevo León
reconocido lo tienen
pues le sobra corazón

El comandante Espinoza
y tambien toda su jente
siempre se sienten tranquilos
cuando Armando va en el frente
porque cuenta con lo suyo
es bravo y inteligente

Le gusta la vida recia
las mujeres y el dinero
Armando Aguirre lo dice
me gusta ser el primero
yo por mi compa derigo
me dejo ir a un voladero

Adiós ciudad de Nogales
de ti me estoy despidiendo
de Monterrey nuevo León
yo guardo un fino recuerdo
recuerden que Armando Aguirre
nunca lo hallaran durmiendo."
Los Tucanes De Tijuana,El Más Bravo De Los Bravos,2014,2010,1,0,1.0,"Zumbando por el estado
Y armados con metralletas
En puros carros blindados
Y a la orden de tres letras
Así anda por todos lados
El comando del muletas

Un hombre muy peligroso
Que no le teme ni al diablo
Sonriendo, jala el gatillo
Disfruta de su trabajo
Y siempre les dice a todos:
""Yo soy hombre, no payaso""

Agallas tiene de sobra
Por eso subió de grado
Levanta, ejecuta y cobra
Al que no esté apalabrado
Son órdenes de la maña
Culebras, tengan cuidado
Raydel López no perdona
Nació demasiado bravo

Los guachos cargan su foto
Lo buscan por todos lados
También los güeros pecosos
Andan muy desesperados
A todos los trae nerviosos
Por tantos ejecutados

Su nombre ya se lo saben
Su apodo es más conocido
Es del cártel de Tijuana
Muletas, cómo has crecido
Las leyes no te hacen nada
Te tienen pavor, mi amigo

Trae un calibre .50
En su trocona blindada
También su fiel R-15
Chanate lanzagranadas
Vestido al estilo Rambo
Con dos rayas en la cara

Nació para echar balazos
Está más que comprobado
Pregúntenselo al gobierno
Y a los que lo han provocado
Con su propio puño y letra
Les escribe los recados
Raydel López, ""el Muletas""
El más bravo de los bravos"
Los Tucanes De Tijuana,"El Shaka (Tema de la Serie de TV ""El Shaka"")",2014,2010,1,0,1.0,"Dos hermanos eran muy unidos
Pero luego cambiaron las cosas
El hermano mayor quedó herido
Le quisieron dar muerte los contras
Le pegaron un tiro en la iglesia
Seguía vivo, pero estaba en coma

El hermano menor, de inmediato
A los contrarios les hizo frente
No tardó en darles a todos p'abajo
Apoyado por su propia gente
El respeto se ganó el muchacho
Rescatando al cartel en caliente

Empezaron a llamarle Chaca
Tal como le decían a su hermano
Malvadillo sacaba a la caza
Su valor quedó bien comprobado
Poderoso dentro de la mafia
Hombre, de veras, muy respetado
Sinaloense, por cierto, mi raza
Con razón es gallito jugado

El hermano mayor, de repente
Despertó y pronto se puso al tiro
Y al retomar las riendas del cartel
Se dio cuenta que lo habían suplido
La sorpresa fue bastante grande
Su hermanito era ya el efectivo

Los problemas llegaron a casa
Los hermanos ya se dividieron
Cada quien trae un montón de raza
Disputándose el mismo terreno
Hasta dónde han llegado las cosas
Todo por el maldito dinero

La avaricia, el poder y la envidia
Son carnadas de grandes problemas
Se corrompen las grandes familias
La traición a cualquiera envenena
Se pondrán los hermanos las pilas
O seguirán al grito de guerra
Volverán a juntarse algún día
O se irán a morir en la quema"
Alemán,Rucón,2018,2015,1,9,1.0,"Hey, hey, hey
(He-he-hey, hey, hey, hey)
(Come on now, come on now)

Traigo a la clika bien prendida en la Toyota
Todos andamos pelones y siempre fumando mota
Ahora pues, ándale, no te me pases de idiota
Ahora pues, ándale, llámale a tu flota, yo'

Tengo unos carnales que te tumban el cantón
Yo no fui, no sé quién ande, qué rapapón
Un chingo como tú que se tira' de felón
Esto es cien por ciento México, nomás wacha el rucón

Con cadena diamantada que hace juego con su esclava
Siempre carga la alabada al millón el rucón
Su gente ahí estaba, todos lanzan la tejana
Fumando la marihuana, pura kush en su joint

No quedan ni bachas, de oro repleta la cacha
Con las más bellas muchachas, al ruco siempre lo wachan
Y saca las caguamas y jala a la banda
Con juegos no se anda, ya saben aquí quién manda, porque

Traemos a la clika bien prendida en la Toyota
Todos andamos pelones y siempre fumando mota
Ahora pues, ándale, no te me pases de idiota
Ahora pues, ándale, llámale a tu flota, yo'

Tengo unos carnales que te tumban el cantón
Yo no fui, no sé quién ande, qué rapapón
Un chingo como tú que se tira' de felón
Esto es cien por ciento México, nomás wacha el rucón

La fiesta no se acaba, se escuchan armas cortadas
Y algunas son detonadas a la voz del rucón
La banda no para, bolsitas de las más caras
Bien entumida la cara, nunca llega el malillón

El ruco es de familia y mafia como en Sicilia
Versace siempre cepilla, los haters llenos de envidia
No creen en eso de la Biblia con botas y cocaína
Hey, hey

Me gusta andar por la sierra, crecí entre los matorrales
Y aprendí a sacar las cuentas nomás con tantos costales
Me gusta burlar las redes que tienen los federales

No queda ni bachas, de oro repleta la cancha
Con las más bellas muchachas, al ruco siempre lo wachan
Y saca las caguamas y jala a la banda con juegos
No se anda, ya saben aquí quién manda, porque

Traemos a la clika bien prendida en la Toyota
Todos andamos pelones y siempre fumando mota
Ahora pues, ándale, no te me pases de idiota
Ahora pues, ándale, llámale a tu flota

Tengo unos carnales que te tumban el cantón
Yo no fui, no sé quién ande, qué rapapón
Un chingo como tú que se tira' de felón
Esto es cien por ciento México, nomás wacha el rucón"
Alemán,Astro 1,2018,2015,1,9,1.0,"Yeah
Estás escuchando 69.69 FM
Y antes de irnos con esta bonita melodía
Recuerden que ya es hora que todos los niños se vayan a la cama
Y que todos los locos y las locas salgan a la calle
¿Saben por qué? Porque la noche cayó

¡Y la noche cayó! empieza la locura y se rola otro gallo
Traigo en la cintura la potencia de un reloj
El que acabará esta puta noche qué sé yo
¿Qué se yo?

¡Y la noche cayó! empieza la locura y se rola otro gallo
Traigo en la cintura la potencia de un reloj
El que acabará esta puta noche qué sé yo
¿Qué se yo?

Mi barrio se pone fiera si es noche de luna llena
Como un hombre lobo, más si estamos en quincena
Unos se fueron por la piedra, otros se fueron por la arena
Yo me fui para el universo y la gloria eterna

Allá bien arriba, elevándote
Cerca de la luna y sus cráteres
Lo pido portuna pa' mis cómplices
Que no quepa dura, quien controla es él

No te he visto por aquí, no te quiero ni ver
Aquí se vive el día, pero la noche es nuestra, wey
Ganamos como siempre, seguimos siendo el rey
Haciendo las cosas bien, esperando el play day

Blunt, blunt, orquesta de balas cuando suena el blunt, blunt
Loco, si gastas siempre con el blunt, blunt
El ruido del barrio siempre ha sido blunt, blunt, blunt, blunt

Blunt, blunt, orquesta de balas cuando suena el blunt, blunt
Loco, si gastas siempre con el blunt, blunt
El ruido del barrio siempre ha sido blunt, blunt, blunt, blunt

Aquí es de noche, la luna ya cayó
Borrachos, coco, marihuanos traen escándalo
Desde el estado de Mex. hasta San Loco
Van prendidos en la ranfla con este rolón, ah (yeah)

La luna brilla y los lobos salen
Unos a alocarse, otros solamente a pegarle
Morros en la esquina reventando mota, piedra y parce
Así son las noches y los días en este valle

La luna brilla, está sobre el The Miss
Siento su energía como se eleva mi ki
No, estoy bromeando kid
En verdad lo que me eleva son los humos del kid

La noche cae, tentaciones y demonios trae
Todo consecuencia de una mente criminal
Balaceras dejan muertos, siempre hay salto rojo
La luna fue testigo, pero no da testimonio

¡Y la noche cayó! empieza la locura y se rola otro gallo
Tengo en la cintura la potencia de un reloj
El que acabará esta puta noche qué sé yo
¿Qué se yo?

¡Y la noche cayó! empieza la locura y se rola otro gallo
Traigo en la cintura la potencia de un reloj
El que acabará esta puta noche qué sé yo
¿Qué se yo?

Blunt, blunt, orquesta de balas cuando suena el blunt, blunt
Loco, si gastas siempre con el blunt, blunt
El ruido del barrio siempre ha sido blunt, blunt, blunt, blunt

Blunt, blunt, orquesta de balas cuando suena el blunt, blunt
Loco, si gastas siempre con el blunt, blunt
El ruido del barrio siempre ha sido blunt, blunt, blunt, blunt

Interrumpimos la trasmisión de radio ""Eclipse""
Porque tenemos noticias de último momento, adelante"
